2021-10-02 03:13:10 UTC Syncing #13337379 0xb8d8…890e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302845 LI:#13337392   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:15 UTC Syncing #13337379 0xb8d8…890e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302845 LI:#13337392   32/50 peers   744 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:20 UTC Syncing #13337379 0xb8d8…890e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302845 LI:#13337392   32/50 peers   744 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:25 UTC Syncing #13337380 0x5686…99c1     0.20 blk/s   53.2 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11302846 LI:#13337394   32/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:30 UTC Syncing #13337380 0x5686…99c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11302846 LI:#13337394   31/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:35 UTC Syncing #13337381 0x088c…b4f8     0.20 blk/s   23.4 tx/s    2.8 Mgas/s      0+   12 Qed Ancient:#11302847 LI:#13337394   31/50 peers    146 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:40 UTC Syncing #13337381 0x088c…b4f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302847 LI:#13337394   31/50 peers    146 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:45 UTC Syncing #13337382 0x08d3…86ac     0.20 blk/s   55.0 tx/s    5.3 Mgas/s      0+   12 Qed Ancient:#11302849 LI:#13337395   31/50 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:50 UTC Syncing #13337382 0x08d3…86ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302849 LI:#13337395   32/50 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:55 UTC Syncing #13337382 0x08d3…86ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302849 LI:#13337395   32/50 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:00 UTC Syncing #13337384 0x300a…7db6     0.40 blk/s   69.6 tx/s    5.8 Mgas/s      0+   10 Qed Ancient:#11302851 LI:#13337395   32/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:05 UTC Syncing #13337384 0x300a…7db6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302851 LI:#13337396   31/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:10 UTC Syncing #13337385 0x3b85…a59f     0.20 blk/s   19.8 tx/s    2.0 Mgas/s      0+   10 Qed Ancient:#11302852 LI:#13337396   30/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:15 UTC Syncing #13337385 0x3b85…a59f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302852 LI:#13337397   30/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:20 UTC Syncing #13337385 0x3b85…a59f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302852 LI:#13337397   32/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:27 UTC Syncing #13337386 0x0524…d6d1     0.20 blk/s   44.2 tx/s    2.8 Mgas/s      0+   11 Qed Ancient:#11302853 LI:#13337398   31/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:30 UTC Syncing #13337387 0x8144…9bc4     0.20 blk/s   17.8 tx/s    1.2 Mgas/s      0+   10 Qed Ancient:#11302854 LI:#13337398   31/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:35 UTC Syncing #13337387 0x8144…9bc4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302854 LI:#13337398   31/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:40 UTC Syncing #13337387 0x8144…9bc4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302854 LI:#13337398   32/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:45 UTC Syncing #13337388 0x3883…bb15     0.20 blk/s   39.2 tx/s    2.6 Mgas/s      0+    9 Qed Ancient:#11302855 LI:#13337398   32/50 peers    358 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:14:50 UTC Syncing #13337389 0x9273…0b14     0.20 blk/s    9.0 tx/s    0.5 Mgas/s      0+    8 Qed Ancient:#11302856 LI:#13337398   33/50 peers    358 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
