2021-10-02 03:18:05 UTC Syncing #13337402 0x97dd…a439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302873 LI:#13337412   37/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:10 UTC Syncing #13337402 0x97dd…a439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302873 LI:#13337412   37/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:15 UTC Syncing #13337402 0x97dd…a439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302873 LI:#13337412   36/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:20 UTC Syncing #13337403 0xf72b…663f     0.20 blk/s   80.2 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11302874 LI:#13337412   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:25 UTC Syncing #13337403 0xf72b…663f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302874 LI:#13337412   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:30 UTC Syncing #13337403 0xf72b…663f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302874 LI:#13337412   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:36 UTC Syncing #13337404 0x7aec…914b     0.20 blk/s   46.6 tx/s    3.9 Mgas/s      0+    8 Qed Ancient:#11302876 LI:#13337412   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:40 UTC Syncing #13337404 0x7aec…914b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302876 LI:#13337412   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:45 UTC Syncing #13337404 0x7aec…914b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302876 LI:#13337412   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:50 UTC Syncing #13337405 0x8a16…ed4b     0.40 blk/s   60.0 tx/s    3.9 Mgas/s      0+    6 Qed Ancient:#11302878 LI:#13337412   38/50 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
