2021-09-22 00:16:54 UTC Syncing #13272305 0xc153…b1f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5591859 LI:#13272315   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:02 UTC Syncing #13272305 0xc153…b1f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5591859 LI:#13272316   18/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:04 UTC Syncing #13272305 0xc153…b1f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5591859 LI:#13272318   17/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:10 UTC Syncing #13272305 0xc153…b1f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5591859 LI:#13272319   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:18 UTC Syncing #13272306 0x6071…8abc     0.20 blk/s   73.8 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5591860 LI:#13272319   14/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:19 UTC Syncing #13272307 0x001a…cf94     0.20 blk/s   45.2 tx/s    4.6 Mgas/s      0+   12 Qed Ancient:#5591861 LI:#13272319   14/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:24 UTC Syncing #13272308 0x8866…3ba0     0.20 blk/s   30.2 tx/s    2.4 Mgas/s      0+   11 Qed Ancient:#5591862 LI:#13272319   14/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:29 UTC Syncing #13272308 0x8866…3ba0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5591862 LI:#13272319   14/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:35 UTC Syncing #13272311 0x6fc7…c457     0.60 blk/s   96.6 tx/s    8.8 Mgas/s      0+   10 Qed Ancient:#5591865 LI:#13272321   14/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:43 UTC Syncing #13272312 0xca4e…fc47     0.20 blk/s   25.0 tx/s    1.5 Mgas/s      0+    9 Qed Ancient:#5591867 LI:#13272321   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
