2021-07-28 14:27:55 UTC Syncing #12914935 0x0553…9f1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942    9/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:00 UTC Syncing #12914935 0x0553…9f1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942    9/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:05 UTC Syncing #12914935 0x0553…9f1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942    8/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:10 UTC Syncing #12914935 0x0553…9f1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:15 UTC Syncing #12914935 0x0553…9f1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942    9/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:20 UTC Syncing #12914935 0x0553…9f1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:26 UTC Syncing #12914936 0x6bf0…ac6b     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7050437 LI:#12914943   14/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:30 UTC Syncing #12914936 0x6bf0…ac6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050437 LI:#12914943   13/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:35 UTC Syncing #12914936 0x6bf0…ac6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050437 LI:#12914943   16/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:40 UTC Syncing #12914936 0x6bf0…ac6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050437 LI:#12914943   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:45 UTC Syncing #12914937 0xf4a9…27ab     0.20 blk/s   24.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7050438 LI:#12914943   12/25 peers      8 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:50 UTC Syncing #12914937 0xf4a9…27ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7050438 LI:#12914943   10/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:28:55 UTC Syncing #12914937 0xf4a9…27ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7050438 LI:#12914943   11/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:29:00 UTC Syncing #12914938 0x9279…15aa     0.20 blk/s   45.2 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7050439 LI:#12914943   13/25 peers      4 MiB chain  920 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:29:30 UTC  Ancient:#7050444 AB:#7053767   19/25 peers      2 MiB chain  233 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
