$ python realistic_failures.py -h http://13.80.15.244:9090 --start=2021-04-27T14:00:00Z --end=2021-04-28T14:00:00Z
WARNING:root:You didn't specify query resolution step width, will use default value 15s

+-------------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|    Syscall Name   |  Error Code  | Samples in Total | Invocations in Total |         Failure Rate         |        Variance        |                        Samples                         |
|      unlinkat     |    ENOENT    |        84        |        60924         | 0.652871, 0.892050, 0.998738 |  0.02223338274761911   | localtime: 2021-04-27 21:02:00, failure rate: 0.333333 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 02:37:00, failure rate: 0.756256 |
|      unlinkat     |    ENOENT    |       120        |        60924         | 0.580158, 0.908163, 0.998415 |  0.026175799689106105  | localtime: 2021-04-27 16:00:15, failure rate: 0.997579 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:29:45, failure rate: 0.996933 |
|      unlinkat     |  ENOTEMPTY   |        1         |          1           | 0.142857, 0.142857, 0.142857 |          0.0           | localtime: 2021-04-27 20:31:00, failure rate: 0.142857 |
|      unlinkat     |  ENOTEMPTY   |        5         |          1           | 0.002261, 0.092685, 0.166667 |  0.005648289302675881  | localtime: 2021-04-27 16:05:15, failure rate: 0.166667 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:05:15, failure rate: 0.166667 |
|      unlinkat     |  ENOTEMPTY   |        18        |          1           | 0.002420, 0.091655, 0.166667 |   0.0063608155457171   | localtime: 2021-04-27 22:02:00, failure rate: 0.002618 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 15:02:00, failure rate: 0.166667 |
|      unlinkat     |   SUCCESS    |        -         |          4           |              -               |           -            |                           -                            |
|       write       |    EAGAIN    |        29        |         329          | 0.000006, 0.006674, 0.024888 | 8.728731887615619e-05  | localtime: 2021-04-28 00:41:00, failure rate: 0.000089 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 15:03:45, failure rate: 0.000036 |
|       write       |  ECONNRESET  |        4         |          32          | 0.000005, 0.000013, 0.000021 | 5.899923227570707e-11  | localtime: 2021-04-27 16:29:00, failure rate: 0.000019 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 16:37:30, failure rate: 0.000005 |
|       write       |  ECONNRESET  |        32        |          32          | 0.000006, 0.000048, 0.000222 | 7.282512808472956e-09  | localtime: 2021-04-27 21:09:45, failure rate: 0.000009 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 14:40:30, failure rate: 0.000006 |
|       write       |    EPIPE     |        2         |          6           | 0.000006, 0.000013, 0.000020 | 6.352241846249654e-11  | localtime: 2021-04-27 16:28:00, failure rate: 0.000021 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 18:06:15, failure rate: 0.000005 |
|       write       |    EPIPE     |        5         |          6           | 0.000008, 0.000032, 0.000076 | 8.770397105581023e-10  | localtime: 2021-04-27 21:08:15, failure rate: 0.000011 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 02:29:00, failure rate: 0.000010 |
|       write       |   SUCCESS    |        -         |        21118         |              -               |           -            |                           -                            |
+-------------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
