2021-07-28 16:03:36 UTC Syncing #12915344 0xd586…6041     0.20 blk/s   39.6 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#7108603 LI:#12915356   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:41 UTC Syncing #12915344 0xd586…6041     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#7108603 LI:#12915356   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:46 UTC Syncing #12915345 0xe50e…066d     0.20 blk/s   31.6 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#7108604 LI:#12915357   33/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:51 UTC Syncing #12915345 0xe50e…066d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#7108604 LI:#12915357   34/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:56 UTC Syncing #12915346 0x357d…e5f6     0.20 blk/s   29.0 tx/s    3.0 Mgas/s      0+   10 Qed Ancient:#7108605 LI:#12915357   35/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:04:01 UTC Syncing #12915348 0xc4b7…b7e7     0.40 blk/s   38.4 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#7108608 LI:#12915357   35/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:04:06 UTC Syncing #12915351 0xb7ef…8eed     0.60 blk/s   71.4 tx/s    9.0 Mgas/s      0+    5 Qed Ancient:#7108611 LI:#12915357   35/50 peers      6 MiB chain  754 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:04:11 UTC Syncing #12915352 0x0d24…7c7e     0.20 blk/s   20.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7108612 LI:#12915358   35/50 peers      6 MiB chain  732 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:04:16 UTC Syncing #12915353 0x6c64…95a3     0.20 blk/s   49.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7108613 LI:#12915359   36/50 peers      6 MiB chain  853 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:04:49 UTC  Ancient:#7108619 AB:#7112314   35/50 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:07 UTC Imported #12915360 0xff0a…11f1 (219 txs, 14.99 Mgas, 17213 ms, 86.01 KiB)
2021-07-28 16:05:22 UTC  Ancient:#7109384 AB:#7112695   35/50 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:46 UTC Syncing #12915361 0x32fd…2d8a     0.04 blk/s    8.9 tx/s    0.6 Mgas/s      0+    5 Qed Ancient:#7109809 LI:#12915366   36/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:48 UTC Syncing #12915361 0x32fd…2d8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109915 LI:#12915366   36/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:51 UTC Syncing #12915361 0x32fd…2d8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109916 LI:#12915367   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:56 UTC Syncing #12915361 0x32fd…2d8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109916 LI:#12915367   36/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:01 UTC Syncing #12915362 0xb09f…f87e     0.20 blk/s   55.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109917 LI:#12915367   36/50 peers      5 MiB chain  951 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:06 UTC Syncing #12915362 0xb09f…f87e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109917 LI:#12915368   35/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:11 UTC Syncing #12915363 0x2b41…df68     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109919 LI:#12915368   35/50 peers      5 MiB chain  936 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:21 UTC Syncing #12915364 0xf383…7962     0.10 blk/s   16.8 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#7109920 LI:#12915369   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
