2021-10-02 02:17:58 UTC Syncing #13337125 0xfd87…d348     0.20 blk/s   55.4 tx/s    3.9 Mgas/s      0+    9 Qed Ancient:#11292441 LI:#13337134   24/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:03 UTC Syncing #13337125 0xfd87…d348     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11292441 LI:#13337135   25/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:08 UTC Syncing #13337126 0x2d3e…5fb7     0.20 blk/s   14.0 tx/s    1.3 Mgas/s      0+    9 Qed Ancient:#11292442 LI:#13337135   26/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:13 UTC Syncing #13337126 0x2d3e…5fb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11292442 LI:#13337136   25/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:18 UTC Syncing #13337127 0x6afd…5f23     0.20 blk/s   29.8 tx/s    3.8 Mgas/s      0+    9 Qed Ancient:#11292443 LI:#13337136   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:23 UTC Syncing #13337127 0x6afd…5f23     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11292443 LI:#13337136   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:28 UTC Syncing #13337127 0x6afd…5f23     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11292443 LI:#13337136   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:33 UTC Syncing #13337127 0x6afd…5f23     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11292443 LI:#13337136   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:38 UTC Syncing #13337127 0x6afd…5f23     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11292443 LI:#13337136   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:46 UTC Syncing #13337129 0x6058…e866     0.23 blk/s   61.7 tx/s    4.1 Mgas/s      0+    9 Qed Ancient:#11292445 LI:#13337137   25/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:18:55 UTC Syncing #13337130 0xe4b6…f8fc     0.12 blk/s    3.3 tx/s    0.2 Mgas/s      0+    8 Qed Ancient:#11292446 LI:#13337138   23/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:19:01 UTC Syncing #13337130 0xe4b6…f8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11292446 LI:#13337138   23/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:19:18 UTC Syncing #13337130 0xe4b6…f8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11292446 LI:#13337138   23/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:19:23 UTC Syncing #13337130 0xe4b6…f8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11292446 LI:#13337138   23/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:19:28 UTC Syncing #13337130 0xe4b6…f8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11292446 LI:#13337138   22/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:19:33 UTC Syncing #13337131 0x666a…aa10     0.20 blk/s   53.2 tx/s    4.3 Mgas/s      0+    7 Qed Ancient:#11292447 LI:#13337138   22/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
