2021-10-01 19:39:06 UTC Syncing #13335381 0x9801…e615     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173452 LI:#13335396   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:11 UTC Syncing #13335382 0x5531…0f97     0.20 blk/s   86.0 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11173453 LI:#13335396   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:16 UTC Syncing #13335382 0x5531…0f97     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173453 LI:#13335396   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:21 UTC Syncing #13335382 0x5531…0f97     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173453 LI:#13335396   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:26 UTC Syncing #13335382 0x5531…0f97     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173453 LI:#13335396   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:31 UTC Syncing #13335382 0x5531…0f97     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173453 LI:#13335397   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:41 UTC Syncing #13335383 0x8385…ece8     0.20 blk/s   58.4 tx/s    5.6 Mgas/s      0+   13 Qed Ancient:#11173454 LI:#13335397   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:41 UTC Syncing #13335384 0x9bad…8ef3     0.20 blk/s   25.2 tx/s    2.0 Mgas/s      0+   12 Qed Ancient:#11173455 LI:#13335398   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:49 UTC Syncing #13335384 0x9bad…8ef3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173455 LI:#13335399   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:51 UTC Syncing #13335384 0x9bad…8ef3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173455 LI:#13335399   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:00 UTC Syncing #13335385 0x786c…c166     0.20 blk/s   69.8 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#11173456 LI:#13335399   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:07 UTC Syncing #13335386 0xc486…3307     0.20 blk/s    9.6 tx/s    0.8 Mgas/s      0+   13 Qed Ancient:#11173457 LI:#13335399   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:07 UTC Syncing #13335386 0xc486…3307     0.10 blk/s    4.8 tx/s    0.4 Mgas/s      0+   13 Qed Ancient:#11173457 LI:#13335399   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:11 UTC Syncing #13335386 0xc486…3307     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173457 LI:#13335400   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:16 UTC Syncing #13335386 0xc486…3307     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173457 LI:#13335400   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:21 UTC Syncing #13335386 0xc486…3307     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173457 LI:#13335400   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:32 UTC Syncing #13335387 0x03ad…3dbc     0.10 blk/s   52.8 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#11173458 LI:#13335400   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:32 UTC Syncing #13335387 0x03ad…3dbc     0.20 blk/s  105.6 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11173458 LI:#13335400   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:36 UTC Syncing #13335387 0x03ad…3dbc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173458 LI:#13335401   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:45 UTC Syncing #13335388 0xf976…aa5c     0.20 blk/s   43.6 tx/s    3.6 Mgas/s      0+   13 Qed Ancient:#11173459 LI:#13335401   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:50 UTC Syncing #13335391 0x53c5…6d3d     0.60 blk/s   29.4 tx/s    2.9 Mgas/s      0+   10 Qed Ancient:#11173462 LI:#13335401   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:56 UTC Syncing #13335392 0x03e9…6204     0.20 blk/s   50.6 tx/s    3.2 Mgas/s      0+    9 Qed Ancient:#11173463 LI:#13335401   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:56 UTC Syncing #13335394 0xe3a9…80e7     0.40 blk/s   34.0 tx/s    3.1 Mgas/s      0+    7 Qed Ancient:#11173465 LI:#13335402   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:02 UTC Syncing #13335395 0xb48e…3303     0.20 blk/s   73.0 tx/s    5.6 Mgas/s      0+    7 Qed Ancient:#11173466 LI:#13335402   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:07 UTC Syncing #13335396 0x102d…80c2     0.20 blk/s   15.8 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#11173467 LI:#13335402   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:13 UTC Syncing #13335397 0x094b…5ac9     0.20 blk/s   35.8 tx/s    2.2 Mgas/s      0+    6 Qed Ancient:#11173468 LI:#13335403   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
