2021-10-02 01:25:25 UTC Syncing #13336898 0xac0e…7581     0.10 blk/s   15.9 tx/s    1.4 Mgas/s      0+   14 Qed Ancient:#11278140 LI:#13336913   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:27 UTC Syncing #13336898 0xac0e…7581     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11278140 LI:#13336913   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:32 UTC Syncing #13336898 0xac0e…7581     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11278140 LI:#13336915   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:42 UTC Syncing #13336899 0x82d5…1d05     0.20 blk/s   66.2 tx/s    4.8 Mgas/s      0+   15 Qed Ancient:#11278141 LI:#13336915   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:42 UTC Syncing #13336899 0x82d5…1d05     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278141 LI:#13336915   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:47 UTC Syncing #13336899 0x82d5…1d05     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11278141 LI:#13336916   13/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:57 UTC Syncing #13336900 0x5297…3376     0.20 blk/s   27.8 tx/s    2.4 Mgas/s      0+   15 Qed Ancient:#11278142 LI:#13336916   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:57 UTC Syncing #13336900 0x5297…3376     0.10 blk/s   13.9 tx/s    1.2 Mgas/s      0+   15 Qed Ancient:#11278142 LI:#13336916   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:02 UTC Syncing #13336900 0x5297…3376     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11278142 LI:#13336918   15/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:07 UTC Syncing #13336900 0x5297…3376     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11278142 LI:#13336918   15/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
