2021-10-02 01:12:17 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11275977 LI:#13336868   12/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:22 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11275977 LI:#13336868   14/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:27 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11275977 LI:#13336868   14/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:32 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11275977 LI:#13336868   15/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:39 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11275977 LI:#13336869   17/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:44 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11275977 LI:#13336870   20/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:47 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11275977 LI:#13336871   21/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:53 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11275977 LI:#13336871   20/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:57 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11275977 LI:#13336871   20/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:13:02 UTC Syncing #13336855 0x0dac…6309     0.20 blk/s   52.4 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11275978 LI:#13336871   21/25 peers    215 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
