2021-10-02 02:38:18 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337218   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:23 UTC Syncing #13337206 0xa84d…5b2b     0.20 blk/s   66.2 tx/s    5.4 Mgas/s      0+   12 Qed Ancient:#11295499 LI:#13337218   10/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:30 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11295499 LI:#13337218   10/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:32 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11295499 LI:#13337218   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:37 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11295499 LI:#13337227   11/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:42 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11295499 LI:#13337227   11/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:47 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11295499 LI:#13337228   15/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:52 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11295499 LI:#13337228   18/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:57 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11295499 LI:#13337228   19/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:02 UTC Syncing #13337206 0xa84d…5b2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11295499 LI:#13337228   19/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:08 UTC Syncing #13337207 0x21af…84e1     0.20 blk/s   75.4 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#11295500 LI:#13337228   19/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:12 UTC Syncing #13337207 0x21af…84e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11295500 LI:#13337228   21/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:17 UTC Syncing #13337207 0x21af…84e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11295500 LI:#13337228   21/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:22 UTC Syncing #13337207 0x21af…84e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11295500 LI:#13337228   21/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:27 UTC Syncing #13337208 0x02a4…2ce0     0.20 blk/s   48.0 tx/s    2.7 Mgas/s      0+   20 Qed Ancient:#11295501 LI:#13337228   21/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:36 UTC Syncing #13337208 0x02a4…2ce0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11295501 LI:#13337228   22/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:39:37 UTC Syncing #13337208 0x02a4…2ce0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11295501 LI:#13337228   21/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
