2021-10-02 04:30:09 UTC Syncing #13337718 0xca99…bde9     0.20 blk/s   79.8 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11318717 LI:#13337740   25/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:14 UTC Syncing #13337718 0xca99…bde9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318717 LI:#13337740   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:19 UTC Syncing #13337718 0xca99…bde9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318717 LI:#13337740   27/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:24 UTC Syncing #13337718 0xca99…bde9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11318717 LI:#13337742   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:29 UTC Syncing #13337718 0xca99…bde9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11318717 LI:#13337742   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:34 UTC Reorg to #13337719 0x5279…d730 (0xca99…bde9 #13337717 0x54dd…b134 0xcdc7…791d)
2021-10-02 04:30:37 UTC Syncing #13337719 0x5279…d730     0.20 blk/s   42.4 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#11318718 LI:#13337742   28/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:39 UTC Syncing #13337719 0x5279…d730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11318718 LI:#13337742   28/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:44 UTC Syncing #13337719 0x5279…d730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11318718 LI:#13337742   31/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:49 UTC Syncing #13337719 0x5279…d730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11318718 LI:#13337742   32/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
