2021-10-02 04:14:29 UTC Syncing #13337659 0xba5d…dc5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11316308 LI:#13337676   19/25 peers    585 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:34 UTC Syncing #13337660 0x9bdf…2180     0.20 blk/s   70.6 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11316309 LI:#13337676   20/25 peers    586 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:39 UTC Syncing #13337660 0x9bdf…2180     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11316309 LI:#13337677   20/25 peers    586 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:44 UTC Syncing #13337660 0x9bdf…2180     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11316309 LI:#13337677   21/25 peers    586 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:49 UTC Syncing #13337661 0x4eaf…3d75     0.20 blk/s   30.6 tx/s    3.3 Mgas/s      0+   16 Qed Ancient:#11316310 LI:#13337677   22/25 peers    866 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:54 UTC Syncing #13337663 0xb91e…7009     0.40 blk/s   27.4 tx/s    2.9 Mgas/s      0+   14 Qed Ancient:#11316312 LI:#13337677   24/25 peers    866 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:59 UTC Syncing #13337664 0xe475…9741     0.20 blk/s   48.6 tx/s    3.8 Mgas/s      0+   13 Qed Ancient:#11316313 LI:#13337677   24/25 peers    867 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:04 UTC Syncing #13337666 0x406c…aff1     0.40 blk/s   49.4 tx/s    4.0 Mgas/s      0+   13 Qed Ancient:#11316315 LI:#13337679   20/25 peers    867 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:09 UTC Syncing #13337666 0x406c…aff1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11316315 LI:#13337680   21/25 peers    867 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:14 UTC Syncing #13337667 0x9a53…2dde     0.20 blk/s   32.2 tx/s    2.6 Mgas/s      0+   14 Qed Ancient:#11316316 LI:#13337681   21/25 peers    867 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:19 UTC Syncing #13337668 0xdbc9…015a     0.40 blk/s   76.0 tx/s    6.1 Mgas/s      0+   12 Qed Ancient:#11316318 LI:#13337681   24/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:21 UTC Reorg to #13337669 0x118c…1d94 (0xdbc9…015a #13337667 0x9a53…2dde 0xdbec…9cd9)
2021-10-02 04:15:24 UTC Syncing #13337670 0x8a21…b824     0.40 blk/s   39.6 tx/s    3.5 Mgas/s      0+   11 Qed Ancient:#11316320 LI:#13337682   23/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:29 UTC Syncing #13337670 0x8a21…b824     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11316320 LI:#13337683   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:34 UTC Syncing #13337671 0xee08…c41b     0.20 blk/s   81.8 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11316321 LI:#13337683   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:39 UTC Syncing #13337671 0xee08…c41b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11316321 LI:#13337683   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:44 UTC Syncing #13337674 0x0c14…fae5     0.60 blk/s   68.0 tx/s    8.4 Mgas/s      0+    8 Qed Ancient:#11316324 LI:#13337683   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:49 UTC Syncing #13337675 0x2b19…0312     0.20 blk/s   35.8 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#11316325 LI:#13337683   21/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:54 UTC Syncing #13337676 0x7ded…2b57     0.20 blk/s   26.6 tx/s    2.8 Mgas/s      0+    6 Qed Ancient:#11316326 LI:#13337683   20/25 peers      2 MiB chain  982 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:15:59 UTC Syncing #13337676 0x7ded…2b57     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11316326 LI:#13337683   19/25 peers      2 MiB chain  982 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:16:04 UTC Syncing #13337677 0xa458…5ef8     0.20 blk/s   52.8 tx/s    5.9 Mgas/s      0+    6 Qed Ancient:#11316327 LI:#13337684   22/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:16:09 UTC Syncing #13337680 0x08bb…de06     0.60 blk/s   63.4 tx/s    5.5 Mgas/s      0+    4 Qed Ancient:#11316330 LI:#13337685   20/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:16:14 UTC Syncing #13337681 0x6eb4…16f5     0.20 blk/s   32.4 tx/s    4.2 Mgas/s      0+    4 Qed Ancient:#11316331 LI:#13337686   20/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:16:43 UTC Imported #13337687 0xa103…b943 (172 txs, 15.98 Mgas, 7543 ms, 99.07 KiB)
