2021-10-02 04:24:04 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11318690 LI:#13337712   23/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:09 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11318690 LI:#13337712   23/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:14 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318690 LI:#13337713   23/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:19 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318690 LI:#13337713   23/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:34 UTC Syncing #13337698 0x992b…645f     0.10 blk/s   24.0 tx/s    2.1 Mgas/s      0+   16 Qed Ancient:#11318691 LI:#13337713   22/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:34 UTC Syncing #13337698 0x992b…645f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11318691 LI:#13337713   22/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:42 UTC Syncing #13337698 0x992b…645f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318691 LI:#13337714   18/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:44 UTC Syncing #13337698 0x992b…645f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11318691 LI:#13337716   19/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:49 UTC Syncing #13337698 0x992b…645f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11318691 LI:#13337717   21/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:24:54 UTC Syncing #13337698 0x992b…645f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11318691 LI:#13337717   23/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:01 UTC Syncing #13337698 0x992b…645f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11318691 LI:#13337717   23/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:05 UTC Syncing #13337699 0xfc18…ada8     0.20 blk/s   48.0 tx/s    4.3 Mgas/s      0+   19 Qed Ancient:#11318692 LI:#13337717   24/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:14 UTC Syncing #13337700 0x2626…1677     0.40 blk/s   51.0 tx/s    4.7 Mgas/s      0+   17 Qed Ancient:#11318694 LI:#13337717   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:14 UTC Syncing #13337700 0x2626…1677     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318694 LI:#13337717   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:19 UTC Syncing #13337700 0x2626…1677     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318694 LI:#13337717   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:24 UTC Syncing #13337700 0x2626…1677     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318694 LI:#13337717   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:32 UTC Syncing #13337701 0xa6e1…99a4     0.20 blk/s   47.0 tx/s    4.4 Mgas/s      0+   16 Qed Ancient:#11318696 LI:#13337717   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:34 UTC Syncing #13337701 0xa6e1…99a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318696 LI:#13337718   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:39 UTC Syncing #13337701 0xa6e1…99a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318696 LI:#13337718   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:46 UTC Syncing #13337702 0xaafb…9958     0.20 blk/s   44.6 tx/s    4.0 Mgas/s      0+   17 Qed Ancient:#11318697 LI:#13337718   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:49 UTC Syncing #13337702 0xaafb…9958     0.20 blk/s   44.6 tx/s    4.1 Mgas/s      0+   17 Qed Ancient:#11318698 LI:#13337719   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:55 UTC Syncing #13337702 0xaafb…9958     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318698 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:25:59 UTC Syncing #13337702 0xaafb…9958     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318698 LI:#13337719   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:04 UTC Syncing #13337702 0xaafb…9958     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318698 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:12 UTC Syncing #13337704 0xfdcb…0942     0.40 blk/s   59.6 tx/s    4.1 Mgas/s      0+   15 Qed Ancient:#11318701 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:14 UTC Syncing #13337704 0xfdcb…0942     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318701 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:19 UTC Syncing #13337704 0xfdcb…0942     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318701 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:24 UTC Syncing #13337704 0xfdcb…0942     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318701 LI:#13337719   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:29 UTC Syncing #13337704 0xfdcb…0942     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318701 LI:#13337721   26/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:35 UTC Syncing #13337706 0x58b6…ba2a     0.40 blk/s   20.6 tx/s    5.1 Mgas/s      0+   16 Qed Ancient:#11318703 LI:#13337722   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:44 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318703 LI:#13337723   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:44 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318703 LI:#13337723   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:49 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318703 LI:#13337723   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:26:54 UTC Syncing #13337706 0x58b6…ba2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11318703 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:27:05 UTC Syncing #13337707 0x3f05…5adb     0.20 blk/s   85.4 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11318704 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:27:05 UTC Syncing #13337707 0x3f05…5adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318704 LI:#13337724   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
