2021-09-22 04:06:18 UTC Syncing #13273291 0x9444…825d     0.40 blk/s   47.0 tx/s    4.4 Mgas/s      0+   40 Qed Ancient:#5699173 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:29 UTC Syncing #13273293 0x40ef…89fa     0.20 blk/s   19.4 tx/s    1.6 Mgas/s      0+   38 Qed Ancient:#5699176 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:29 UTC Syncing #13273292 0x13bd…054f     0.20 blk/s   32.6 tx/s    2.7 Mgas/s      0+   39 Qed Ancient:#5699174 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:38 UTC Syncing #13273293 0x40ef…89fa     0.10 blk/s    3.1 tx/s    0.3 Mgas/s      0+   38 Qed Ancient:#5699176 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:38 UTC Syncing #13273293 0x40ef…89fa     0.20 blk/s    6.2 tx/s    0.6 Mgas/s      0+   38 Qed Ancient:#5699176 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:48 UTC Syncing #13273295 0x80b1…6e36     0.20 blk/s   26.5 tx/s    2.8 Mgas/s      0+   36 Qed Ancient:#5699178 LI:#13273331    3/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:48 UTC Syncing #13273294 0xa775…00b4     0.20 blk/s   36.8 tx/s    4.0 Mgas/s      0+   37 Qed Ancient:#5699177 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:16 UTC Syncing #13273296 0x5c5c…42dc     0.13 blk/s   12.2 tx/s    1.2 Mgas/s      0+   35 Qed Ancient:#5699179 LI:#13273331    2/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:16 UTC Syncing #13273296 0x5c5c…42dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#5699179 LI:#13273331    2/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:16 UTC Syncing #13273295 0x80b1…6e36     0.20 blk/s   16.2 tx/s    1.6 Mgas/s      0+   36 Qed Ancient:#5699178 LI:#13273331    3/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
