2021-10-01 23:33:44 UTC Syncing #13336441 0x087d…4e89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11246077 LI:#13336457    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:53 UTC Syncing #13336442 0xaf69…950b     0.20 blk/s   16.0 tx/s    1.5 Mgas/s      0+   18 Qed Ancient:#11246078 LI:#13336460    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:54 UTC Syncing #13336442 0xaf69…950b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11246078 LI:#13336462    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:59 UTC Syncing #13336443 0x3218…9b46     0.20 blk/s   77.0 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#11246079 LI:#13336463    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:04 UTC Syncing #13336443 0x3218…9b46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11246079 LI:#13336463    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:13 UTC Syncing #13336444 0xa053…5d84     0.20 blk/s   70.0 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#11246080 LI:#13336464    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:19 UTC Syncing #13336447 0x1fe4…b9ed     0.60 blk/s   43.0 tx/s    5.0 Mgas/s      0+   17 Qed Ancient:#11246083 LI:#13336464    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:19 UTC Syncing #13336447 0x1fe4…b9ed     0.30 blk/s   21.5 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#11246083 LI:#13336464    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:24 UTC Syncing #13336449 0x2b6e…6d8c     0.40 blk/s   80.6 tx/s    6.1 Mgas/s      0+   15 Qed Ancient:#11246085 LI:#13336464    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:32 UTC Syncing #13336450 0x007f…05bf     0.20 blk/s   18.6 tx/s    2.1 Mgas/s      0+   14 Qed Ancient:#11246086 LI:#13336465    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:43 UTC Syncing #13336450 0x007f…05bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11246086 LI:#13336465    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:43 UTC Syncing #13336453 0xb936…85e5     0.30 blk/s   48.7 tx/s    4.6 Mgas/s      0+   12 Qed Ancient:#11246089 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:51 UTC Syncing #13336453 0xb936…85e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11246089 LI:#13336466    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:51 UTC Syncing #13336453 0xb936…85e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11246089 LI:#13336466    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:58 UTC Syncing #13336454 0xe47f…a330     0.20 blk/s   44.2 tx/s    5.9 Mgas/s      0+   12 Qed Ancient:#11246090 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:04 UTC Syncing #13336455 0xc6b3…c5a7     0.20 blk/s   15.2 tx/s    1.4 Mgas/s      0+   11 Qed Ancient:#11246091 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:04 UTC Syncing #13336456 0x1742…fc84     0.20 blk/s   41.8 tx/s    3.7 Mgas/s      0+   10 Qed Ancient:#11246092 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:10 UTC Syncing #13336457 0xf670…7fd8     0.20 blk/s   35.8 tx/s    4.8 Mgas/s      0+    9 Qed Ancient:#11246093 LI:#13336466    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:15 UTC Syncing #13336457 0xf670…7fd8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11246093 LI:#13336466    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:20 UTC Syncing #13336458 0x4d64…3b25     0.40 blk/s   98.8 tx/s    6.8 Mgas/s      0+    7 Qed Ancient:#11246095 LI:#13336466    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:22 UTC Reorg to #13336459 0x17de…cdce (0x4d64…3b25 #13336457 0xf670…7fd8 0x7dcb…15b6)
2021-10-01 23:35:30 UTC Syncing #13336461 0xfe25…2f30     0.30 blk/s   59.4 tx/s    4.9 Mgas/s      0+    5 Qed Ancient:#11246098 LI:#13336467    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:30 UTC Syncing #13336460 0x192a…c3b0     0.40 blk/s   78.0 tx/s    7.0 Mgas/s      0+    6 Qed Ancient:#11246097 LI:#13336467    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
