2021-10-01 21:30:24 UTC Syncing #13335870 0x27d4…c145     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11209550 LI:#13335885   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:29 UTC Syncing #13335871 0x8ce5…02e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11209550 LI:#13335885   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:34 UTC Syncing #13335871 0x8ce5…02e4     0.20 blk/s   81.8 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#11209551 LI:#13335885   12/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:39 UTC Syncing #13335871 0x8ce5…02e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11209551 LI:#13335885   12/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:44 UTC Syncing #13335871 0x8ce5…02e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11209551 LI:#13335885   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:55 UTC Syncing #13335872 0xe7f1…15e2     0.10 blk/s   29.1 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#11209552 LI:#13335885   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:55 UTC Syncing #13335872 0xe7f1…15e2     0.20 blk/s   58.2 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11209552 LI:#13335885   15/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:59 UTC Syncing #13335872 0xe7f1…15e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11209552 LI:#13335885   16/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:04 UTC Syncing #13335872 0xe7f1…15e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11209552 LI:#13335885   18/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:09 UTC Syncing #13335872 0xe7f1…15e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11209552 LI:#13335885   19/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:14 UTC Syncing #13335872 0xe7f1…15e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11209552 LI:#13335885   21/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:19 UTC Syncing #13335872 0xe7f1…15e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11209552 LI:#13335886   20/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:28 UTC Syncing #13335873 0x3906…24e8     0.20 blk/s   61.0 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11209553 LI:#13335886   20/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:35 UTC Syncing #13335875 0xedc7…bebf     0.40 blk/s   24.8 tx/s    5.1 Mgas/s      0+   12 Qed Ancient:#11209555 LI:#13335886   20/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:35 UTC Syncing #13335875 0xedc7…bebf     0.30 blk/s   17.0 tx/s    3.3 Mgas/s      0+   10 Qed Ancient:#11209556 LI:#13335886   20/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:44 UTC Syncing #13335876 0xe4dc…d006     0.20 blk/s   17.4 tx/s    1.7 Mgas/s      0+    9 Qed Ancient:#11209557 LI:#13335886   18/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:44 UTC Syncing #13335876 0xe4dc…d006     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11209557 LI:#13335886   18/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:51 UTC Syncing #13335878 0x64ba…304d     0.40 blk/s   32.4 tx/s    2.9 Mgas/s      0+    7 Qed Ancient:#11209559 LI:#13335886   18/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:58 UTC Syncing #13335878 0x64ba…304d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209559 LI:#13335886   18/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:31:59 UTC Syncing #13335878 0x64ba…304d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209559 LI:#13335886   17/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:07 UTC Syncing #13335879 0x9814…4e1f     0.20 blk/s   40.6 tx/s    3.9 Mgas/s      0+    6 Qed Ancient:#11209560 LI:#13335886   17/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:10 UTC Syncing #13335879 0x9814…4e1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209560 LI:#13335887   17/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:30 UTC Syncing #13335880 0xdd04…8252     0.07 blk/s   15.5 tx/s    1.4 Mgas/s      0+    7 Qed Ancient:#11209561 LI:#13335887   18/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:30 UTC Syncing #13335880 0xdd04…8252     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209683 LI:#13335887   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:37 UTC Syncing #13335881 0x9b96…809d     0.15 blk/s   12.9 tx/s    1.1 Mgas/s      0+    7 Qed Ancient:#11209685 LI:#13335888   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:54 UTC Syncing #13335882 0x03ac…3a1f     0.06 blk/s    7.9 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#11209796 LI:#13335889   14/25 peers     10 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:54 UTC Syncing #13335881 0x9b96…809d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11209689 LI:#13335889   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:54 UTC Syncing #13335882 0x03ac…3a1f     0.52 blk/s   65.5 tx/s    8.0 Mgas/s      0+    6 Qed Ancient:#11209796 LI:#13335889   14/25 peers     10 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:01 UTC Syncing #13335882 0x03ac…3a1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11209796 LI:#13335889   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:09 UTC Syncing #13335882 0x03ac…3a1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209796 LI:#13335890   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:09 UTC Syncing #13335882 0x03ac…3a1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11209796 LI:#13335892   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:19 UTC Syncing #13335883 0xa7d0…d150     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11209796 LI:#13335892   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
