2021-10-01 21:50:32 UTC Syncing #13335928 0x2637…cd60     0.20 blk/s   11.8 tx/s    1.0 Mgas/s      0+   45 Qed Ancient:#11217529 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:40 UTC Syncing #13335930 0x4040…ba52     0.40 blk/s   33.0 tx/s    3.3 Mgas/s      0+   43 Qed Ancient:#11217531 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:40 UTC Syncing #13335930 0x4040…ba52     0.20 blk/s   16.5 tx/s    1.7 Mgas/s      0+   43 Qed Ancient:#11217531 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:50 UTC Syncing #13335930 0x4040…ba52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#11217531 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:50 UTC Syncing #13335930 0x4040…ba52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#11217531 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:54 UTC Syncing #13335930 0x4040…ba52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#11217531 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:59 UTC Syncing #13335931 0xc45a…dd53     0.20 blk/s   57.4 tx/s    6.0 Mgas/s      0+   42 Qed Ancient:#11217532 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:04 UTC Syncing #13335931 0xc45a…dd53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11217532 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:20 UTC Syncing #13335934 0x8e0b…bb44     0.30 blk/s   28.3 tx/s    2.4 Mgas/s      0+   39 Qed Ancient:#11217535 LI:#13335972    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:20 UTC Syncing #13335934 0x8e0b…bb44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#11217535 LI:#13335972    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:20 UTC Syncing #13335932 0xa503…5052     0.20 blk/s   36.2 tx/s    3.1 Mgas/s      0+   41 Qed Ancient:#11217533 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:28 UTC Syncing #13335934 0x8e0b…bb44     0.40 blk/s   20.4 tx/s    1.7 Mgas/s      0+   39 Qed Ancient:#11217535 LI:#13335972    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:29 UTC Syncing #13335934 0x8e0b…bb44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#11217535 LI:#13335972    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:40 UTC Syncing #13335935 0xe399…dbda     0.10 blk/s   19.3 tx/s    1.9 Mgas/s      0+   38 Qed Ancient:#11217537 LI:#13335972    1/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:40 UTC Syncing #13335935 0xe399…dbda     0.20 blk/s   38.6 tx/s    3.8 Mgas/s      0+   38 Qed Ancient:#11217537 LI:#13335972    1/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:44 UTC Syncing #13335935 0xe399…dbda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#11217537 LI:#13335972    1/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:56 UTC Syncing #13335937 0x9bb2…c0b6     0.20 blk/s   32.0 tx/s    3.7 Mgas/s      0+   36 Qed Ancient:#11217539 LI:#13335972    1/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:51:56 UTC Syncing #13335936 0xc973…cec5     0.20 blk/s   56.8 tx/s    6.0 Mgas/s      0+   37 Qed Ancient:#11217538 LI:#13335972    1/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:05 UTC Syncing #13335937 0x9bb2…c0b6     0.10 blk/s    3.6 tx/s    0.7 Mgas/s      0+   36 Qed Ancient:#11217539 LI:#13335972    1/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:05 UTC Syncing #13335937 0x9bb2…c0b6     0.20 blk/s    7.2 tx/s    1.5 Mgas/s      0+   36 Qed Ancient:#11217539 LI:#13335972    1/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:09 UTC Syncing #13335937 0x9bb2…c0b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#11217539 LI:#13335972    1/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:14 UTC Syncing #13335937 0x9bb2…c0b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#11217539 LI:#13335972    1/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:19 UTC Syncing #13335937 0x9bb2…c0b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#11217539 LI:#13335990    2/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:31 UTC Syncing #13335938 0x5b32…17ba     0.10 blk/s   32.3 tx/s    3.0 Mgas/s      0+   53 Qed Ancient:#11217540 LI:#13335990    3/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:31 UTC Syncing #13335938 0x5b32…17ba     0.20 blk/s   64.6 tx/s    6.0 Mgas/s      0+   53 Qed Ancient:#11217540 LI:#13335990    3/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:34 UTC Syncing #13335939 0x445c…d52d     0.20 blk/s   32.2 tx/s    4.2 Mgas/s      0+   52 Qed Ancient:#11217542 LI:#13335990    4/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:44 UTC Syncing #13335939 0x445c…d52d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#11217542 LI:#13335990    5/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:44 UTC Syncing #13335939 0x445c…d52d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#11217542 LI:#13335990    5/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:50 UTC Syncing #13335939 0x445c…d52d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#11217542 LI:#13335992    6/25 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:52:58 UTC Syncing #13335940 0xf09a…fd34     0.20 blk/s   44.8 tx/s    4.4 Mgas/s      0+   53 Qed Ancient:#11217543 LI:#13335992    6/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:53:07 UTC Syncing #13335942 0x2a69…e529     0.20 blk/s   24.0 tx/s    3.1 Mgas/s      0+   51 Qed Ancient:#11217545 LI:#13335992    6/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:53:07 UTC Syncing #13335941 0xd268…8bd6     0.20 blk/s   25.6 tx/s    3.2 Mgas/s      0+   53 Qed Ancient:#11217544 LI:#13335992    6/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:53:16 UTC Syncing #13335942 0x2a69…e529     0.20 blk/s   22.4 tx/s    3.1 Mgas/s      0+   51 Qed Ancient:#11217545 LI:#13335992    6/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:53:16 UTC Syncing #13335943 0xefe6…4e27     0.20 blk/s   20.4 tx/s    2.4 Mgas/s      0+   50 Qed Ancient:#11217546 LI:#13335992    6/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
