2021-10-02 04:45:54 UTC Syncing #13337791 0x2fef…8adb     0.12 blk/s    6.0 tx/s    0.7 Mgas/s      0+   19 Qed Ancient:#11321659 LI:#13337812   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:54 UTC Syncing #13337791 0x2fef…8adb     0.30 blk/s   16.9 tx/s    2.1 Mgas/s      0+   19 Qed Ancient:#11321659 LI:#13337811   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:56 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11321659 LI:#13337813   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:01 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11321659 LI:#13337813   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:06 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11321659 LI:#13337813   33/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:11 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11321659 LI:#13337813   34/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:16 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11321659 LI:#13337813   34/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:21 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321659 LI:#13337814   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:27 UTC Syncing #13337791 0x2fef…8adb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321659 LI:#13337814   33/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:33 UTC Syncing #13337792 0xc237…7417     0.20 blk/s   57.0 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#11321660 LI:#13337814   33/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:36 UTC Syncing #13337793 0xe2c3…5ff3     0.20 blk/s    9.2 tx/s    1.4 Mgas/s      0+   23 Qed Ancient:#11321661 LI:#13337817   33/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:41 UTC Syncing #13337793 0xe2c3…5ff3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321661 LI:#13337817   34/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:46 UTC Syncing #13337794 0x186c…3dc5     0.20 blk/s   16.8 tx/s    1.6 Mgas/s      0+   24 Qed Ancient:#11321662 LI:#13337819   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:51 UTC Syncing #13337794 0x186c…3dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321662 LI:#13337819   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:56 UTC Syncing #13337794 0x186c…3dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321662 LI:#13337820   38/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:01 UTC Syncing #13337794 0x186c…3dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321662 LI:#13337820   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:07 UTC Syncing #13337795 0xe648…5b4b     0.16 blk/s   52.0 tx/s    4.8 Mgas/s      0+   25 Qed Ancient:#11321663 LI:#13337820   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:22 UTC Syncing #13337796 0xd9e0…1bb9     0.09 blk/s   15.0 tx/s    1.2 Mgas/s      0+   24 Qed Ancient:#11321701 LI:#13337820   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:22 UTC Syncing #13337795 0xe648…5b4b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321663 LI:#13337820   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:22 UTC Syncing #13337796 0xd9e0…1bb9     0.25 blk/s   39.2 tx/s    3.1 Mgas/s      0+   24 Qed Ancient:#11321701 LI:#13337820   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:26 UTC Syncing #13337796 0xd9e0…1bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321702 LI:#13337821   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
