2021-10-02 02:02:58 UTC Syncing #13337047 0x8ef0…0ab2     0.20 blk/s   44.8 tx/s    3.6 Mgas/s      0+   20 Qed Ancient:#11287368 LI:#13337067    2/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:58 UTC Syncing #13337048 0xb221…b16e     0.20 blk/s   31.4 tx/s    2.8 Mgas/s      0+   19 Qed Ancient:#11287369 LI:#13337067    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:14 UTC Syncing #13337048 0xb221…b16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11287369 LI:#13337067    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:14 UTC Syncing #13337048 0xb221…b16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11287369 LI:#13337067    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:14 UTC Syncing #13337048 0xb221…b16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11287369 LI:#13337067    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:16 UTC Syncing #13337048 0xb221…b16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11287369 LI:#13337067    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:28 UTC Syncing #13337050 0x7061…56b2     0.20 blk/s   37.2 tx/s    3.7 Mgas/s      0+   22 Qed Ancient:#11287371 LI:#13337072    1/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:28 UTC Syncing #13337049 0x5eb5…8357     0.20 blk/s   61.8 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#11287370 LI:#13337072    1/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:38 UTC Syncing #13337051 0x797d…b6fb     0.20 blk/s   25.6 tx/s    1.9 Mgas/s      0+   21 Qed Ancient:#11287372 LI:#13337072    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:03:38 UTC Syncing #13337050 0x7061…56b2     0.20 blk/s   12.6 tx/s    1.4 Mgas/s      0+   22 Qed Ancient:#11287371 LI:#13337072    1/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
