2021-10-02 01:47:41 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283158 LI:#13337000   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:46 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283158 LI:#13337000   26/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:53 UTC Syncing #13336977 0xb01c…888b     0.20 blk/s   82.0 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#11283159 LI:#13337000   26/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:56 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283159 LI:#13337001   26/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:01 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11283159 LI:#13337002   26/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:06 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11283159 LI:#13337002   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:11 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11283159 LI:#13337003   26/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:16 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11283159 LI:#13337003   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:21 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11283159 LI:#13337003   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:26 UTC Syncing #13336977 0xb01c…888b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11283159 LI:#13337003   28/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:33 UTC Syncing #13336978 0xf356…7d50     0.20 blk/s   56.8 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#11283160 LI:#13337004   28/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:48:36 UTC Syncing #13336978 0xf356…7d50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11283161 LI:#13337004   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
