2021-10-02 01:36:42 UTC Reorg to #13336942 0x602c…89c3 (0x4a7b…4f32 #13336940 0xab47…b8ee 0xa7d1…562b)
2021-10-02 01:40:41 UTC Syncing #13336953 0x294b…cac3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283130 LI:#13336969   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:54 UTC Syncing #13336954 0x7992…0f7d     0.20 blk/s   46.0 tx/s    2.7 Mgas/s      0+   15 Qed Ancient:#11283131 LI:#13336969   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:54 UTC Syncing #13336954 0x7992…0f7d     0.10 blk/s   23.0 tx/s    1.3 Mgas/s      0+   15 Qed Ancient:#11283131 LI:#13336969   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:56 UTC Syncing #13336954 0x7992…0f7d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283131 LI:#13336970   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:01 UTC Syncing #13336954 0x7992…0f7d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283131 LI:#13336970   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:06 UTC Syncing #13336954 0x7992…0f7d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283131 LI:#13336971   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:23 UTC Syncing #13336955 0xf4ad…47f7     0.20 blk/s   53.5 tx/s    4.9 Mgas/s      0+   16 Qed Ancient:#11283132 LI:#13336971   22/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:23 UTC Syncing #13336955 0xf4ad…47f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283132 LI:#13336971   22/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:23 UTC Syncing #13336955 0xf4ad…47f7     0.10 blk/s   26.8 tx/s    2.5 Mgas/s      0+   16 Qed Ancient:#11283132 LI:#13336971   22/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:26 UTC Syncing #13336955 0xf4ad…47f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283132 LI:#13336971   22/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:31 UTC Syncing #13336955 0xf4ad…47f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11283132 LI:#13336974   22/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:41 UTC Syncing #13336956 0x2ddb…a1da     0.20 blk/s   38.2 tx/s    3.6 Mgas/s      0+   18 Qed Ancient:#11283133 LI:#13336974   21/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:41 UTC Syncing #13336958 0x19fb…d04d     0.30 blk/s   25.3 tx/s    2.5 Mgas/s      0+   16 Qed Ancient:#11283135 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:49 UTC Syncing #13336958 0x19fb…d04d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283135 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:41:51 UTC Syncing #13336958 0x19fb…d04d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283135 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:03 UTC Syncing #13336958 0x19fb…d04d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283135 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:03 UTC Syncing #13336958 0x19fb…d04d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283135 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:18 UTC Syncing #13336959 0xf2af…3e35     0.10 blk/s   36.0 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#11283136 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:18 UTC Syncing #13336959 0xf2af…3e35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283136 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:18 UTC Syncing #13336959 0xf2af…3e35     0.20 blk/s   72.0 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11283136 LI:#13336974   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:21 UTC Syncing #13336959 0xf2af…3e35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283136 LI:#13336975   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:30 UTC Syncing #13336960 0xa587…8e9d     0.20 blk/s   35.6 tx/s    4.2 Mgas/s      0+   15 Qed Ancient:#11283137 LI:#13336975   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:31 UTC Syncing #13336960 0xa587…8e9d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283137 LI:#13336975   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:41 UTC Syncing #13336963 0xdfb8…ae3f     0.60 blk/s   44.6 tx/s    3.5 Mgas/s      0+   12 Qed Ancient:#11283141 LI:#13336975   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:46 UTC Syncing #13336964 0x3e5f…9f69     0.20 blk/s   16.0 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#11283142 LI:#13336976   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:46 UTC Syncing #13336964 0x3e5f…9f69     0.10 blk/s    8.0 tx/s    0.6 Mgas/s      0+   11 Qed Ancient:#11283142 LI:#13336976   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:53 UTC Syncing #13336964 0x3e5f…9f69     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11283142 LI:#13336976   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:42:56 UTC Syncing #13336964 0x3e5f…9f69     0.20 blk/s   37.2 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#11283143 LI:#13336976   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:00 UTC Reorg to #13336965 0xb5d7…d414 (0x3e5f…9f69 #13336963 0xdfb8…ae3f 0x9a6d…0eac)
2021-10-02 01:43:06 UTC Syncing #13336965 0xb5d7…d414     0.10 blk/s   14.2 tx/s    1.2 Mgas/s      0+   10 Qed Ancient:#11283144 LI:#13336976   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:06 UTC Syncing #13336965 0xb5d7…d414     0.20 blk/s   28.4 tx/s    2.3 Mgas/s      0+   10 Qed Ancient:#11283144 LI:#13336976   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:11 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:16 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:21 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:26 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:34 UTC Syncing #13336966 0x9e64…703b     0.20 blk/s   70.8 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11283145 LI:#13336977   20/25 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
