2021-09-21 23:46:12 UTC Imported #13272182 0x44c6…6ee9 (245 txs, 24.73 Mgas, 7221 ms, 195.29 KiB)
2021-09-21 23:46:21 UTC Syncing #13272182 0x44c6…6ee9     0.13 blk/s   18.8 tx/s    1.8 Mgas/s      0+    0 Qed Ancient:#5581310 LI:#13272182    3/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:27 UTC Syncing #13272182 0x44c6…6ee9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5581337 LI:#13272187    6/25 peers    639 KiB chain  382 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:31 UTC Syncing #13272182 0x44c6…6ee9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5581337 LI:#13272187    7/25 peers    639 KiB chain  382 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:36 UTC Syncing #13272182 0x44c6…6ee9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5581337 LI:#13272187    5/25 peers    639 KiB chain  382 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:41 UTC Syncing #13272182 0x44c6…6ee9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5581337 LI:#13272187    6/25 peers    639 KiB chain  382 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:48 UTC Syncing #13272182 0x44c6…6ee9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5581337 LI:#13272187    7/25 peers    639 KiB chain  382 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:51 UTC Syncing #13272183 0x0d24…6fca     0.20 blk/s   44.2 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5581338 LI:#13272188    6/25 peers    639 KiB chain  769 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:46:56 UTC Syncing #13272183 0x0d24…6fca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5581339 LI:#13272190    7/25 peers    639 KiB chain  938 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:01 UTC Syncing #13272183 0x0d24…6fca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5581339 LI:#13272190    5/25 peers    639 KiB chain  938 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:06 UTC Syncing #13272184 0x6835…d6c7     0.20 blk/s   19.2 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#5581340 LI:#13272190    7/25 peers    639 KiB chain  832 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
