2021-09-21 22:15:31 UTC Syncing #13271773 0x109f…839b     0.05 blk/s    6.5 tx/s    0.7 Mgas/s      0+   22 Qed Ancient:#5523244 LI:#13271795   11/25 peers     82 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:41 UTC Syncing #13271773 0x109f…839b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5523245 LI:#13271795   10/25 peers    109 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:48 UTC Syncing #13271774 0x1e9e…4f55     0.20 blk/s   21.8 tx/s    1.6 Mgas/s      0+   20 Qed Ancient:#5523246 LI:#13271795    8/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:48 UTC Syncing #13271774 0x1e9e…4f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5523246 LI:#13271795    8/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:52 UTC Syncing #13271774 0x1e9e…4f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5523246 LI:#13271795    8/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:59 UTC Syncing #13271774 0x1e9e…4f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5523246 LI:#13271795    8/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:08 UTC Syncing #13271776 0xe6ec…5be9     0.20 blk/s   37.5 tx/s    3.1 Mgas/s      0+   18 Qed Ancient:#5523249 LI:#13271795    8/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:08 UTC Syncing #13271774 0x1e9e…4f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5523246 LI:#13271795    8/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:14 UTC Syncing #13271777 0xe2b2…c52d     0.60 blk/s   78.4 tx/s    6.5 Mgas/s      0+   18 Qed Ancient:#5523250 LI:#13271796    8/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:20 UTC Syncing #13271777 0xe2b2…c52d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5523250 LI:#13271796    8/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:22 UTC Syncing #13271777 0xe2b2…c52d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5523250 LI:#13271797    8/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:28 UTC Syncing #13271779 0x58a2…716e     0.40 blk/s   88.8 tx/s    7.4 Mgas/s      0+   17 Qed Ancient:#5523252 LI:#13271797    7/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:34 UTC Syncing #13271780 0x836f…4b86     0.20 blk/s   34.0 tx/s    3.6 Mgas/s      0+   16 Qed Ancient:#5523253 LI:#13271797    7/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:40 UTC Syncing #13271781 0x8b11…a0a6     0.20 blk/s    5.0 tx/s    0.4 Mgas/s      0+   15 Qed Ancient:#5523254 LI:#13271797    7/25 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:46 UTC Syncing #13271782 0x6b91…d9b9     0.20 blk/s   75.6 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#5523255 LI:#13271797    5/25 peers    357 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:47 UTC Syncing #13271782 0x6b91…d9b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5523255 LI:#13271797    5/25 peers    357 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:55 UTC Syncing #13271783 0x0876…489b     0.20 blk/s   65.8 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5523256 LI:#13271797    4/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:16:57 UTC Syncing #13271783 0x0876…489b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5523256 LI:#13271797    4/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
