2021-09-21 22:03:44 UTC Syncing #13271732 0xb403…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5515408 LI:#13271741   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:48 UTC Syncing #13271733 0x6893…b4ad     0.20 blk/s   34.2 tx/s    4.1 Mgas/s      0+    7 Qed Ancient:#5515409 LI:#13271741   16/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:51 UTC Syncing #13271733 0x6893…b4ad     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5515409 LI:#13271741   15/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:00 UTC Syncing #13271734 0xb88a…015e     0.20 blk/s   38.8 tx/s    3.6 Mgas/s      0+    8 Qed Ancient:#5515410 LI:#13271743   17/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:02 UTC Syncing #13271734 0xb88a…015e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515410 LI:#13271744   17/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:06 UTC Syncing #13271734 0xb88a…015e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5515410 LI:#13271746   19/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:17 UTC Syncing #13271734 0xb88a…015e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5515410 LI:#13271746   20/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:17 UTC Syncing #13271734 0xb88a…015e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5515410 LI:#13271746   20/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:22 UTC Syncing #13271735 0x6e0f…7a0d     0.20 blk/s   88.8 tx/s    5.7 Mgas/s      0+   11 Qed Ancient:#5515414 LI:#13271747   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:26 UTC Syncing #13271735 0x6e0f…7a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5515414 LI:#13271747   21/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
