2021-10-02 00:13:56 UTC Syncing #13336603 0x1f45…96a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258917 LI:#13336625    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:58 UTC Syncing #13336603 0x1f45…96a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258917 LI:#13336625    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:05 UTC Syncing #13336605 0xe4cc…71ba     0.40 blk/s   79.2 tx/s    7.1 Mgas/s      0+   20 Qed Ancient:#11258919 LI:#13336625    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:11 UTC Syncing #13336605 0xe4cc…71ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11258919 LI:#13336625    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:18 UTC Syncing #13336606 0xddea…1574     0.20 blk/s   87.8 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#11258920 LI:#13336626    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:18 UTC Syncing #13336606 0xddea…1574     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11258920 LI:#13336627    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:25 UTC Syncing #13336608 0x1848…ce90     0.60 blk/s   80.4 tx/s    9.1 Mgas/s      0+   18 Qed Ancient:#11258923 LI:#13336627    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:31 UTC Syncing #13336608 0x1848…ce90     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11258923 LI:#13336627    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:37 UTC Syncing #13336609 0x92e7…e892     0.20 blk/s   31.4 tx/s    3.4 Mgas/s      0+   18 Qed Ancient:#11258924 LI:#13336628    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:42 UTC Syncing #13336611 0x09da…ef02     0.40 blk/s   80.4 tx/s    7.0 Mgas/s      0+   17 Qed Ancient:#11258926 LI:#13336630    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
