2021-09-22 01:54:16 UTC Syncing #13272731 0x8326…93a9     0.20 blk/s   24.0 tx/s    2.7 Mgas/s      0+   22 Qed Ancient:#5637301 LI:#13272754    2/25 peers    365 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:19 UTC Syncing #13272731 0x8326…93a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5637301 LI:#13272754    2/25 peers    365 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:24 UTC Syncing #13272731 0x8326…93a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5637301 LI:#13272755    1/25 peers    365 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:33 UTC Syncing #13272733 0x17ab…59ad     0.40 blk/s   59.2 tx/s    4.9 Mgas/s      0+   21 Qed Ancient:#5637303 LI:#13272755    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:34 UTC Syncing #13272733 0x17ab…59ad     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637303 LI:#13272755    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:42 UTC Syncing #13272733 0x17ab…59ad     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637303 LI:#13272755    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:44 UTC Syncing #13272733 0x17ab…59ad     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637303 LI:#13272755    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:53 UTC Syncing #13272734 0xcb18…fedb     0.20 blk/s   23.6 tx/s    3.2 Mgas/s      0+   20 Qed Ancient:#5637304 LI:#13272755    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:54 UTC Syncing #13272734 0xcb18…fedb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5637304 LI:#13272755    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:03 UTC Syncing #13272736 0x46f1…9bc9     0.40 blk/s   47.4 tx/s    3.9 Mgas/s      0+   22 Qed Ancient:#5637306 LI:#13272759    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:07 UTC Syncing #13272736 0x46f1…9bc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5637306 LI:#13272759    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:10 UTC Syncing #13272736 0x46f1…9bc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5637306 LI:#13272759    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:14 UTC Syncing #13272736 0x46f1…9bc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5637306 LI:#13272759    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:19 UTC Syncing #13272736 0x46f1…9bc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5637306 LI:#13272759    1/25 peers    366 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:25 UTC Syncing #13272737 0x4768…4c52     0.20 blk/s   63.8 tx/s    5.6 Mgas/s      0+   21 Qed Ancient:#5637307 LI:#13272759    1/25 peers    647 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:30 UTC Syncing #13272738 0x2a8c…5e3a     0.20 blk/s   13.4 tx/s    1.1 Mgas/s      0+   20 Qed Ancient:#5637308 LI:#13272759    1/25 peers    647 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:34 UTC Syncing #13272738 0x2a8c…5e3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637308 LI:#13272760    1/25 peers    647 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:41 UTC Syncing #13272739 0x898d…3a3e     0.20 blk/s   29.0 tx/s    2.1 Mgas/s      0+   20 Qed Ancient:#5637309 LI:#13272760    1/25 peers    647 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:55 UTC Syncing #13272740 0x48e0…30af     0.10 blk/s    6.8 tx/s    0.7 Mgas/s      0+   19 Qed Ancient:#5637311 LI:#13272760    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:55 UTC Syncing #13272740 0x48e0…30af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5637311 LI:#13272760    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:55:55 UTC Syncing #13272740 0x48e0…30af     0.20 blk/s   13.6 tx/s    1.4 Mgas/s      0+   19 Qed Ancient:#5637311 LI:#13272760    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:00 UTC Syncing #13272740 0x48e0…30af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5637311 LI:#13272760    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:07 UTC Syncing #13272741 0xaab3…9ffd     0.20 blk/s   38.6 tx/s    2.6 Mgas/s      0+   18 Qed Ancient:#5637312 LI:#13272760    1/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:09 UTC Syncing #13272741 0xaab3…9ffd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5637312 LI:#13272761    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:19 UTC Syncing #13272742 0x4367…b06a     0.10 blk/s   13.5 tx/s    1.1 Mgas/s      0+   18 Qed Ancient:#5637313 LI:#13272761    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:19 UTC Syncing #13272742 0x4367…b06a     0.20 blk/s   27.0 tx/s    2.2 Mgas/s      0+   18 Qed Ancient:#5637313 LI:#13272761    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:24 UTC Syncing #13272742 0x4367…b06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5637313 LI:#13272762    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:56:29 UTC Syncing #13272742 0x4367…b06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5637313 LI:#13272763    1/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
