2021-09-22 01:07:50 UTC Syncing #13272523 0xcb2c…c777     0.20 blk/s   96.6 tx/s    5.5 Mgas/s      0+   17 Qed Ancient:#5616992 LI:#13272541   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:51 UTC Syncing #13272523 0xcb2c…c777     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5616992 LI:#13272542   31/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:56 UTC Syncing #13272523 0xcb2c…c777     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5616992 LI:#13272542   32/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:05 UTC Syncing #13272524 0x6408…3da2     0.20 blk/s   42.8 tx/s    3.0 Mgas/s      0+   18 Qed Ancient:#5616994 LI:#13272542   33/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:11 UTC Syncing #13272525 0xc89c…59e8     0.10 blk/s   12.7 tx/s    0.9 Mgas/s      0+   18 Qed Ancient:#5616995 LI:#13272543   33/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:11 UTC Syncing #13272525 0xc89c…59e8     0.20 blk/s   25.4 tx/s    1.8 Mgas/s      0+   18 Qed Ancient:#5616995 LI:#13272543   33/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:16 UTC Syncing #13272525 0xc89c…59e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5616995 LI:#13272544   31/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:21 UTC Syncing #13272525 0xc89c…59e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5616995 LI:#13272544   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:26 UTC Syncing #13272525 0xc89c…59e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5616995 LI:#13272545   31/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:31 UTC Syncing #13272525 0xc89c…59e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5616995 LI:#13272545   31/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
