2021-09-22 01:20:44 UTC Syncing #13272580 0xe661…89a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5623982 LI:#13272597   17/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:01 UTC Syncing #13272581 0xa3eb…f129     0.06 blk/s   13.1 tx/s    1.2 Mgas/s      0+   17 Qed Ancient:#5623983 LI:#13272598   17/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:01 UTC Syncing #13272580 0xe661…89a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5623982 LI:#13272598   17/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:14 UTC Syncing #13272581 0xa3eb…f129     0.11 blk/s   23.6 tx/s    2.1 Mgas/s      0+   20 Qed Ancient:#5624017 LI:#13272601   16/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:14 UTC Syncing #13272581 0xa3eb…f129     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5624030 LI:#13272601   16/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:22 UTC Syncing #13272581 0xa3eb…f129     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5624030 LI:#13272602   16/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:26 UTC Syncing #13272582 0xb3f2…f758     0.20 blk/s   11.0 tx/s    0.9 Mgas/s      0+   20 Qed Ancient:#5624031 LI:#13272602   16/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:47 UTC Syncing #13272582 0xb3f2…f758     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5624031 LI:#13272603   18/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:21:47 UTC Syncing #13272583 0x4e32…4fd6     0.08 blk/s   11.9 tx/s    0.9 Mgas/s      0+   20 Qed Ancient:#5624093 LI:#13272603   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:22:03 UTC Syncing #13272584 0x2236…0a56     0.06 blk/s    5.4 tx/s    0.7 Mgas/s      0+   23 Qed Ancient:#5624096 LI:#13272607   16/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:22:27 UTC Syncing #13272585 0xfea4…2c3a     0.04 blk/s    3.1 tx/s    0.3 Mgas/s      0+   22 Qed Ancient:#5624096 LI:#13272607   16/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:00 UTC Syncing #13272586 0xfe0d…1f44     0.04 blk/s    8.2 tx/s    0.6 Mgas/s      0+   23 Qed Ancient:#5624550 LI:#13272610   15/25 peers      9 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:00 UTC Syncing #13272585 0xfea4…2c3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5624187 LI:#13272609   15/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:00 UTC Syncing #13272586 0xfe0d…1f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5624551 LI:#13272611   15/25 peers      9 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:00 UTC Syncing #13272586 0xfe0d…1f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5624553 LI:#13272611   15/25 peers      8 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:06 UTC Syncing #13272586 0xfe0d…1f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624554 LI:#13272612   13/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:16 UTC Syncing #13272587 0x5d98…6b52     0.20 blk/s    7.2 tx/s    0.8 Mgas/s      0+   24 Qed Ancient:#5624555 LI:#13272612   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:16 UTC Syncing #13272587 0x5d98…6b52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5624555 LI:#13272612   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:25 UTC Syncing #13272587 0x5d98…6b52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624555 LI:#13272613   11/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:26 UTC Syncing #13272587 0x5d98…6b52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624555 LI:#13272613    9/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:31 UTC Syncing #13272587 0x5d98…6b52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624555 LI:#13272613    9/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:40 UTC Syncing #13272587 0x5d98…6b52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624555 LI:#13272613    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:41 UTC Syncing #13272587 0x5d98…6b52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624555 LI:#13272613    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:47 UTC Syncing #13272588 0x78a1…100b     0.20 blk/s   29.2 tx/s    2.8 Mgas/s      0+   24 Qed Ancient:#5624556 LI:#13272613    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:51 UTC Syncing #13272588 0x78a1…100b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624556 LI:#13272614    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:23:56 UTC Syncing #13272588 0x78a1…100b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624556 LI:#13272614    8/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:01 UTC Syncing #13272588 0x78a1…100b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5624556 LI:#13272615    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:14 UTC Syncing #13272589 0xb601…fd5e     0.10 blk/s   15.0 tx/s    1.2 Mgas/s      0+   25 Qed Ancient:#5624557 LI:#13272615    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:14 UTC Syncing #13272589 0xb601…fd5e     0.20 blk/s   30.0 tx/s    2.4 Mgas/s      0+   25 Qed Ancient:#5624557 LI:#13272615    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:16 UTC Syncing #13272589 0xb601…fd5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624557 LI:#13272615    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:21 UTC Syncing #13272589 0xb601…fd5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624557 LI:#13272615   11/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:30 UTC Syncing #13272590 0x488d…b3f3     0.20 blk/s   35.2 tx/s    2.2 Mgas/s      0+   24 Qed Ancient:#5624558 LI:#13272615   13/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:31 UTC Syncing #13272590 0x488d…b3f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5624558 LI:#13272616   11/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:36 UTC Syncing #13272590 0x488d…b3f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5624558 LI:#13272617   11/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:41 UTC Syncing #13272590 0x488d…b3f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5624558 LI:#13272617   12/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:58 UTC Syncing #13272591 0xc97a…f113     0.07 blk/s   14.4 tx/s    1.3 Mgas/s      0+   26 Qed Ancient:#5624675 LI:#13272617   14/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:58 UTC Syncing #13272591 0xc97a…f113     0.07 blk/s   15.8 tx/s    1.4 Mgas/s      0+   26 Qed Ancient:#5624558 LI:#13272617   14/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:24:59 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5624675 LI:#13272618   11/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:01 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5624676 LI:#13272620   11/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:14 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#5624676 LI:#13272621   13/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:14 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#5624676 LI:#13272621   13/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:16 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#5624676 LI:#13272621   13/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:28 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#5624676 LI:#13272621   13/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:28 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#5624676 LI:#13272621   13/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:31 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#5624676 LI:#13272622   11/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:36 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#5624676 LI:#13272623   11/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:41 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#5624676 LI:#13272623   14/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:25:46 UTC Syncing #13272591 0xc97a…f113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#5624676 LI:#13272623   16/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
