2021-10-01 18:48:14 UTC Syncing #13335173 0x7653…e07e     0.20 blk/s   71.0 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11163351 LI:#13335191    6/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:20 UTC Syncing #13335173 0x7653…e07e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11163351 LI:#13335191    6/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:28 UTC Syncing #13335173 0x7653…e07e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11163351 LI:#13335192    3/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:29 UTC Syncing #13335173 0x7653…e07e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11163351 LI:#13335193    3/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:38 UTC Syncing #13335174 0x0166…68ae     0.20 blk/s   37.4 tx/s    5.9 Mgas/s      0+   18 Qed Ancient:#11163352 LI:#13335193    3/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:39 UTC Syncing #13335174 0x0166…68ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11163352 LI:#13335193    3/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:44 UTC Syncing #13335174 0x0166…68ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11163352 LI:#13335193    3/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:48:49 UTC Syncing #13335174 0x0166…68ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11163352 LI:#13335193    4/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:08 UTC Syncing #13335176 0x2ff1…14c8     0.40 blk/s   66.8 tx/s    6.3 Mgas/s      0+   16 Qed Ancient:#11163355 LI:#13335193    5/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:08 UTC Syncing #13335176 0x2ff1…14c8     0.13 blk/s   22.3 tx/s    2.1 Mgas/s      0+   16 Qed Ancient:#11163355 LI:#13335193    5/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:08 UTC Syncing #13335176 0x2ff1…14c8     0.20 blk/s   33.4 tx/s    3.1 Mgas/s      0+   16 Qed Ancient:#11163355 LI:#13335193    5/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:14 UTC Syncing #13335176 0x2ff1…14c8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11163355 LI:#13335193    5/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:24 UTC Syncing #13335177 0xe767…2ebf     0.10 blk/s   11.4 tx/s    1.7 Mgas/s      0+   15 Qed Ancient:#11163356 LI:#13335193    5/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:24 UTC Syncing #13335177 0xe767…2ebf     0.20 blk/s   22.8 tx/s    3.4 Mgas/s      0+   15 Qed Ancient:#11163356 LI:#13335193    5/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:49:24 UTC Syncing #13335177 0xe767…2ebf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11163356 LI:#13335195    4/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
