2021-10-01 19:03:14 UTC Syncing #13335234 0xbd99…d7a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164805 LI:#13335253    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:27 UTC Syncing #13335235 0x0cbd…61f3     0.20 blk/s   23.8 tx/s    3.4 Mgas/s      0+   17 Qed Ancient:#11164806 LI:#13335253    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:27 UTC Syncing #13335235 0x0cbd…61f3     0.10 blk/s   11.9 tx/s    1.7 Mgas/s      0+   17 Qed Ancient:#11164806 LI:#13335253    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:29 UTC Syncing #13335235 0x0cbd…61f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11164806 LI:#13335253    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:41 UTC Syncing #13335237 0x24a8…5b0c     0.40 blk/s   63.0 tx/s    5.7 Mgas/s      0+   15 Qed Ancient:#11164809 LI:#13335253    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:41 UTC Syncing #13335237 0x24a8…5b0c     0.20 blk/s   31.5 tx/s    2.8 Mgas/s      0+   15 Qed Ancient:#11164809 LI:#13335253    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:49 UTC Syncing #13335238 0x6a63…b21e     0.20 blk/s   23.2 tx/s    1.8 Mgas/s      0+   14 Qed Ancient:#11164810 LI:#13335255    6/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:49 UTC Syncing #13335238 0x6a63…b21e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11164810 LI:#13335255    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:54 UTC Syncing #13335238 0x6a63…b21e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164810 LI:#13335257    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:04:16 UTC Syncing #13335239 0xd74c…7394     0.10 blk/s   24.6 tx/s    1.6 Mgas/s      0+   17 Qed Ancient:#11164811 LI:#13335257    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:04:16 UTC Syncing #13335239 0xd74c…7394     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11164811 LI:#13335257    6/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
