2021-10-01 18:52:54 UTC Syncing #13335194 0x2190…616b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11163377 LI:#13335205    5/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:59 UTC Syncing #13335194 0x2190…616b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163377 LI:#13335206    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:12 UTC Syncing #13335195 0x3483…6b2c     0.10 blk/s   15.5 tx/s    1.8 Mgas/s      0+   10 Qed Ancient:#11163378 LI:#13335206    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:12 UTC Syncing #13335195 0x3483…6b2c     0.20 blk/s   31.0 tx/s    3.6 Mgas/s      0+   10 Qed Ancient:#11163378 LI:#13335206    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:14 UTC Syncing #13335195 0x3483…6b2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11163378 LI:#13335206    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:19 UTC Syncing #13335195 0x3483…6b2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11163378 LI:#13335206    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:24 UTC Syncing #13335195 0x3483…6b2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163378 LI:#13335207    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:36 UTC Syncing #13335197 0xf748…c058     0.20 blk/s   34.4 tx/s    2.9 Mgas/s      0+   11 Qed Ancient:#11163382 LI:#13335209    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:36 UTC Syncing #13335196 0x88d2…2800     0.20 blk/s   49.8 tx/s    4.4 Mgas/s      0+   12 Qed Ancient:#11163381 LI:#13335209    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:41 UTC Syncing #13335197 0xf748…c058     0.20 blk/s   19.0 tx/s    1.3 Mgas/s      0+   11 Qed Ancient:#11163382 LI:#13335209    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:44 UTC Syncing #13335197 0xf748…c058     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163382 LI:#13335210    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:50 UTC Syncing #13335197 0xf748…c058     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163382 LI:#13335210    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:53:55 UTC Syncing #13335198 0xf47a…0498     0.20 blk/s   78.6 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11163382 LI:#13335210    5/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:04 UTC Syncing #13335198 0xf47a…0498     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163383 LI:#13335210    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:04 UTC Syncing #13335198 0xf47a…0498     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163383 LI:#13335210    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:09 UTC Syncing #13335198 0xf47a…0498     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163383 LI:#13335211    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:14 UTC Syncing #13335198 0xf47a…0498     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163383 LI:#13335211    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:19 UTC Syncing #13335199 0x5b25…b1be     0.20 blk/s   68.2 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11163384 LI:#13335211    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:27 UTC Syncing #13335199 0x5b25…b1be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163384 LI:#13335211    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:29 UTC Syncing #13335199 0x5b25…b1be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163384 LI:#13335211    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:34 UTC Syncing #13335199 0x5b25…b1be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163384 LI:#13335211    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
