2021-09-22 03:27:18 UTC Syncing #13273134 0x24a3…0854     0.20 blk/s   31.0 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#5681405 LI:#13273148   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:24 UTC Syncing #13273135 0x76bf…449e     0.20 blk/s   11.8 tx/s    1.0 Mgas/s      0+   12 Qed Ancient:#5681406 LI:#13273149   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:25 UTC Syncing #13273135 0x76bf…449e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681406 LI:#13273149   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:35 UTC Syncing #13273136 0x5859…abb6     0.20 blk/s   46.4 tx/s    4.1 Mgas/s      0+   12 Qed Ancient:#5681407 LI:#13273149   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:35 UTC Syncing #13273136 0x5859…abb6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681407 LI:#13273149   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:40 UTC Syncing #13273136 0x5859…abb6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681407 LI:#13273149   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:48 UTC Syncing #13273137 0xf396…aefe     0.20 blk/s   33.4 tx/s    3.2 Mgas/s      0+   11 Qed Ancient:#5681408 LI:#13273149   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:57 UTC Syncing #13273138 0x0c04…d671     0.20 blk/s    7.6 tx/s    0.6 Mgas/s      0+   11 Qed Ancient:#5681409 LI:#13273150   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:57 UTC Syncing #13273139 0xab08…9f8f     0.14 blk/s   11.6 tx/s    1.6 Mgas/s      0+   10 Qed Ancient:#5681410 LI:#13273150   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:28:05 UTC Syncing #13273139 0xab08…9f8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681410 LI:#13273151   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:28:05 UTC Syncing #13273139 0xab08…9f8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681410 LI:#13273151   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:28:10 UTC Syncing #13273139 0xab08…9f8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681410 LI:#13273153   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:28:15 UTC Syncing #13273139 0xab08…9f8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5681410 LI:#13273154   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:28:34 UTC Syncing #13273141 0x9429…f316     0.12 blk/s   21.6 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#5681435 LI:#13273154   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
