2021-09-22 03:31:49 UTC Syncing #13273153 0x6d34…76db     0.10 blk/s   25.2 tx/s    2.4 Mgas/s      0+   14 Qed Ancient:#5681452 LI:#13273167   20/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:50 UTC Syncing #13273153 0x6d34…76db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5681452 LI:#13273167   20/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:55 UTC Syncing #13273153 0x6d34…76db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5681452 LI:#13273167   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:09 UTC Syncing #13273154 0x53cb…8730     0.10 blk/s   25.2 tx/s    1.0 Mgas/s      0+   14 Qed Ancient:#5681453 LI:#13273168   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:09 UTC Syncing #13273154 0x53cb…8730     0.20 blk/s   50.4 tx/s    2.1 Mgas/s      0+   14 Qed Ancient:#5681453 LI:#13273168   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:11 UTC Syncing #13273154 0x53cb…8730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5681453 LI:#13273168   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:15 UTC Syncing #13273155 0x69e1…8390     0.20 blk/s   39.0 tx/s    3.6 Mgas/s      0+   13 Qed Ancient:#5681454 LI:#13273168   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:20 UTC Syncing #13273156 0x99f1…62da     0.20 blk/s   12.8 tx/s    1.2 Mgas/s      0+   12 Qed Ancient:#5681455 LI:#13273168   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:25 UTC Syncing #13273156 0x99f1…62da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681455 LI:#13273168   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:30 UTC Syncing #13273156 0x99f1…62da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681455 LI:#13273169   23/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:35 UTC Syncing #13273156 0x99f1…62da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681455 LI:#13273169   23/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:40 UTC Syncing #13273156 0x99f1…62da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681455 LI:#13273169   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
