2021-10-02 03:54:44 UTC Syncing #13337584 0x8267…a016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310782 LI:#13337590   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:49 UTC Syncing #13337584 0x8267…a016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310782 LI:#13337591   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:54 UTC Syncing #13337584 0x8267…a016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310782 LI:#13337591   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:59 UTC Syncing #13337584 0x8267…a016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310782 LI:#13337591   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:04 UTC Syncing #13337585 0x3a0c…82e4     0.20 blk/s   72.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11310783 LI:#13337591   28/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:09 UTC Syncing #13337585 0x3a0c…82e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310783 LI:#13337591   29/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:14 UTC Syncing #13337585 0x3a0c…82e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310783 LI:#13337591   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:19 UTC Syncing #13337585 0x3a0c…82e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310783 LI:#13337592   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:24 UTC Syncing #13337585 0x3a0c…82e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11310783 LI:#13337593   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:29 UTC Syncing #13337585 0x3a0c…82e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11310783 LI:#13337593   29/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:34 UTC Syncing #13337586 0x0aaf…e428     0.20 blk/s   45.0 tx/s    4.2 Mgas/s      0+    6 Qed Ancient:#11310784 LI:#13337593   29/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:39 UTC Syncing #13337586 0x0aaf…e428     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11310784 LI:#13337594   29/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:44 UTC Syncing #13337586 0x0aaf…e428     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11310784 LI:#13337595   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:49 UTC Syncing #13337586 0x0aaf…e428     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11310784 LI:#13337595   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:54 UTC Syncing #13337587 0x46d2…46fb     0.20 blk/s   23.0 tx/s    2.3 Mgas/s      0+    7 Qed Ancient:#11310785 LI:#13337596   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:55:59 UTC Syncing #13337587 0x46d2…46fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11310785 LI:#13337596   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:56:04 UTC Syncing #13337588 0xf5a2…10a8     0.20 blk/s    9.0 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#11310786 LI:#13337597   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:56:09 UTC Syncing #13337588 0xf5a2…10a8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11310786 LI:#13337598   27/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
