2021-05-09 10:25:06 UTC Syncing #12399396 0x19d4…7367     0.20 blk/s   49.6 tx/s    3.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399603   38/50 peers      6 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:11 UTC Syncing #12399396 0x19d4…7367     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399603   38/50 peers      3 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:16 UTC Syncing #12399397 0x0de3…fba2     0.20 blk/s   44.0 tx/s    3.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399604   38/50 peers      4 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:21 UTC Syncing #12399397 0x0de3…fba2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399604   38/50 peers      4 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:26 UTC Syncing #12399397 0x0de3…fba2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399605   38/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:31 UTC Syncing #12399398 0x9c64…b53e     0.20 blk/s   60.6 tx/s    3.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399606   38/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:36 UTC Syncing #12399398 0x9c64…b53e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399606   38/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:41 UTC Syncing #12399398 0x9c64…b53e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399606   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:46 UTC Syncing #12399399 0x92dc…e96a     0.20 blk/s   43.0 tx/s    3.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399606   39/50 peers      5 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:51 UTC Syncing #12399399 0x92dc…e96a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399607   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:56 UTC Syncing #12399400 0x0f90…d619     0.20 blk/s  102.4 tx/s    3.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399607   39/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:01 UTC Syncing #12399400 0x0f90…d619     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399608   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:06 UTC Syncing #12399400 0x0f90…d619     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399608   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:11 UTC Syncing #12399401 0xe1a3…c900     0.20 blk/s   45.8 tx/s    3.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399609   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:16 UTC Syncing #12399401 0xe1a3…c900     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399609   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:21 UTC Syncing #12399402 0xbe1e…2a93     0.20 blk/s   33.6 tx/s    3.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399609   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:26 UTC Syncing #12399402 0xbe1e…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399609   39/50 peers      9 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:31 UTC Syncing #12399403 0xbf4c…536c     0.20 blk/s   35.0 tx/s    3.0 Mgas/s      0+  210 Qed Ancient:#12118719 LI:#12399609   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:36 UTC Syncing #12399403 0xbf4c…536c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399610   39/50 peers     10 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:41 UTC Syncing #12399403 0xbf4c…536c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399611   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:46 UTC Syncing #12399403 0xbf4c…536c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399611   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:51 UTC Syncing #12399404 0x65bc…81b8     0.20 blk/s   40.4 tx/s    2.9 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399611   39/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:26:56 UTC Syncing #12399405 0xb5cf…978f     0.20 blk/s   31.2 tx/s    3.0 Mgas/s      0+  210 Qed Ancient:#12118719 LI:#12399611   39/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:01 UTC Syncing #12399405 0xb5cf…978f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  210 Qed Ancient:#12118719 LI:#12399611   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:06 UTC Syncing #12399405 0xb5cf…978f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399612   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:11 UTC Syncing #12399405 0xb5cf…978f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399612   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:16 UTC Syncing #12399406 0xf2b9…621d     0.20 blk/s   53.8 tx/s    3.0 Mgas/s      0+  211 Qed Ancient:#12118719 LI:#12399613   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
