2021-10-01 22:13:10 UTC Syncing #13336005 0x4b9d…5936     0.20 blk/s   82.0 tx/s    6.0 Mgas/s      0+   54 Qed Ancient:#11220107 LI:#13336058   11/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:16 UTC Syncing #13336005 0x4b9d…5936     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#11220107 LI:#13336058   11/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:25 UTC Syncing #13336005 0x4b9d…5936     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220107 LI:#13336059    9/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:25 UTC Syncing #13336005 0x4b9d…5936     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220107 LI:#13336059    9/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:31 UTC Syncing #13336005 0x4b9d…5936     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220107 LI:#13336060   10/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:40 UTC Syncing #13336006 0x5581…b2e5     0.20 blk/s   64.0 tx/s    4.0 Mgas/s      0+   56 Qed Ancient:#11220108 LI:#13336061   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:45 UTC Syncing #13336007 0x8ce2…0d6f     0.20 blk/s    8.6 tx/s    0.8 Mgas/s      0+   56 Qed Ancient:#11220109 LI:#13336062   12/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:45 UTC Syncing #13336007 0x8ce2…0d6f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220109 LI:#13336062   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:52 UTC Syncing #13336008 0x72b7…4142     0.20 blk/s   88.6 tx/s    6.0 Mgas/s      0+   56 Qed Ancient:#11220110 LI:#13336063   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:58 UTC Syncing #13336008 0x72b7…4142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#11220110 LI:#13336064   10/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:14:04 UTC Syncing #13336009 0xacdb…e698     0.20 blk/s   86.0 tx/s    6.0 Mgas/s      0+   57 Qed Ancient:#11220111 LI:#13336065   10/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
