2021-09-21 21:33:14 UTC Syncing #13271604 0xb767…137d     0.20 blk/s   16.0 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#5498782 LI:#13271610   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:19 UTC Syncing #13271604 0xb767…137d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498782 LI:#13271612   21/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:24 UTC Syncing #13271606 0xef53…3404     0.41 blk/s   27.5 tx/s    2.4 Mgas/s      0+    5 Qed Ancient:#5498784 LI:#13271612   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:29 UTC Syncing #13271606 0xef53…3404     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498784 LI:#13271613   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:34 UTC Syncing #13271606 0xef53…3404     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498784 LI:#13271614   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:39 UTC Syncing #13271606 0xef53…3404     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498784 LI:#13271614   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:44 UTC Syncing #13271606 0xef53…3404     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498784 LI:#13271614   24/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:49 UTC Syncing #13271607 0x5ca6…3a33     0.20 blk/s  132.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5498785 LI:#13271614   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:55 UTC Syncing #13271607 0x5ca6…3a33     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498785 LI:#13271615   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:59 UTC Syncing #13271607 0x5ca6…3a33     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498785 LI:#13271615   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:34:04 UTC Syncing #13271608 0x8882…20ab     0.20 blk/s   65.2 tx/s    5.6 Mgas/s      0+    6 Qed Ancient:#5498786 LI:#13271615   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:34:09 UTC Syncing #13271609 0x0c4d…fcca     0.20 blk/s   40.8 tx/s    2.3 Mgas/s      0+    5 Qed Ancient:#5498787 LI:#13271615   23/25 peers      6 MiB chain  995 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
