2021-09-21 21:48:09 UTC Syncing #13271671 0x008e…6dfa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5506252 LI:#13271678   15/25 peers    892 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:14 UTC Syncing #13271671 0x008e…6dfa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5506252 LI:#13271678   14/25 peers    892 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:19 UTC Syncing #13271671 0x008e…6dfa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5506252 LI:#13271678   11/25 peers    892 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:24 UTC Syncing #13271672 0x2683…e078     0.20 blk/s   47.2 tx/s    5.0 Mgas/s      0+    5 Qed Ancient:#5506253 LI:#13271678   13/25 peers    893 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:29 UTC Syncing #13271673 0x4058…5c4a     0.20 blk/s   23.2 tx/s    1.0 Mgas/s      0+    5 Qed Ancient:#5506254 LI:#13271679   14/25 peers    893 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:34 UTC Syncing #13271673 0x4058…5c4a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5506254 LI:#13271679   14/25 peers    893 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:46 UTC Syncing #13271674 0x567c…b645     0.20 blk/s   43.2 tx/s    3.3 Mgas/s      0+    4 Qed Ancient:#5506255 LI:#13271679   17/25 peers    893 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:46 UTC Syncing #13271674 0x567c…b645     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506255 LI:#13271679   17/25 peers    893 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:54 UTC Syncing #13271674 0x567c…b645     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506255 LI:#13271679   11/25 peers    893 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:54 UTC Syncing #13271674 0x567c…b645     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506255 LI:#13271679   11/25 peers    893 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:49:30 UTC  Ancient:#5506259 AB:#5509711   10/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:49:30 UTC  Ancient:#5506259 AB:#5509711   10/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:50:20 UTC  Ancient:#5508426 AB:#5509711    8/25 peers      4 MiB chain  126 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:50:20 UTC  Ancient:#5508185 AB:#5509711    8/25 peers   432 bytes chain  126 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:50:59 UTC  Ancient:#5508428 AB:#5510149    5/25 peers      5 MiB chain  144 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
