2021-10-01 23:02:05 UTC Syncing #13336297 0x5783…10a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11236090 LI:#13336313    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:10 UTC Syncing #13336298 0x5839…6b01     0.20 blk/s   20.8 tx/s    1.5 Mgas/s      0+   16 Qed Ancient:#11236091 LI:#13336314    6/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:14 UTC Syncing #13336298 0x5839…6b01     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236091 LI:#13336314    5/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:21 UTC Syncing #13336298 0x5839…6b01     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236091 LI:#13336314    5/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:28 UTC Syncing #13336298 0x5839…6b01     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236091 LI:#13336314    5/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:29 UTC Syncing #13336298 0x5839…6b01     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11236091 LI:#13336315    4/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:37 UTC Syncing #13336299 0x609a…7b34     0.20 blk/s   43.0 tx/s    4.4 Mgas/s      0+   16 Qed Ancient:#11236092 LI:#13336315    4/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:39 UTC Syncing #13336299 0x609a…7b34     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236092 LI:#13336315    4/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:44 UTC Syncing #13336299 0x609a…7b34     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236092 LI:#13336315    4/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:52 UTC Syncing #13336300 0xcdb4…665c     0.20 blk/s   71.8 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11236093 LI:#13336315    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:56 UTC Syncing #13336302 0x7447…86dc     0.40 blk/s   26.4 tx/s    3.6 Mgas/s      0+   13 Qed Ancient:#11236095 LI:#13336315    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:01 UTC Syncing #13336303 0x2273…b7d4     0.20 blk/s   29.4 tx/s    2.7 Mgas/s      0+   12 Qed Ancient:#11236096 LI:#13336316    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:06 UTC Syncing #13336305 0x15d0…9848     0.40 blk/s   63.4 tx/s    6.1 Mgas/s      0+   11 Qed Ancient:#11236098 LI:#13336316    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:10 UTC Syncing #13336306 0x2ed5…762e     0.20 blk/s   22.8 tx/s    1.3 Mgas/s      0+   10 Qed Ancient:#11236099 LI:#13336316    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:14 UTC Syncing #13336306 0x2ed5…762e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11236099 LI:#13336316    3/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:21 UTC Syncing #13336307 0xa033…13d3     0.20 blk/s   64.4 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11236100 LI:#13336316    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:26 UTC Syncing #13336308 0xb786…606e     0.20 blk/s   23.8 tx/s    2.2 Mgas/s      0+    8 Qed Ancient:#11236101 LI:#13336316    6/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:31 UTC Syncing #13336310 0x3be3…64e3     0.40 blk/s   58.8 tx/s    5.0 Mgas/s      0+    6 Qed Ancient:#11236103 LI:#13336316    6/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:03:37 UTC Syncing #13336311 0x4ee7…5dfb     0.20 blk/s   63.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11236104 LI:#13336316    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:04:07 UTC  Ancient:#11236110 AB:#11239473    6/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:04:31 UTC Imported #13336318 0x085d…09d6 (171 txs, 15.00 Mgas, 3350 ms, 80.31 KiB)
2021-10-01 23:04:34 UTC  Ancient:#11238211 AB:#11239473    6/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
