2021-10-01 22:56:42 UTC Syncing #13336259 0x0b45…855f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#11233519 LI:#13336287    6/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:48 UTC Syncing #13336261 0x4651…cf49     0.40 blk/s   96.6 tx/s    8.8 Mgas/s      0+   28 Qed Ancient:#11233521 LI:#13336287    5/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:53 UTC Syncing #13336261 0x4651…cf49     0.32 blk/s   67.1 tx/s    6.8 Mgas/s      0+   26 Qed Ancient:#11233522 LI:#13336287    5/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:01 UTC Syncing #13336261 0x4651…cf49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11233860 LI:#13336287    3/25 peers    0 bytes chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:01 UTC Syncing #13336262 0xa344…b758     0.16 blk/s   36.7 tx/s    3.3 Mgas/s      0+   24 Qed Ancient:#11233861 LI:#13336287    3/25 peers    144 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:08 UTC Syncing #13336262 0xa344…b758     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11233861 LI:#13336287    3/25 peers    144 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:14 UTC Syncing #13336264 0x2632…2f71     0.40 blk/s   50.0 tx/s    4.9 Mgas/s      0+   22 Qed Ancient:#11233863 LI:#13336287    2/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:14 UTC Syncing #13336264 0x2632…2f71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11233863 LI:#13336287    2/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:23 UTC Syncing #13336266 0x9bcc…36ab     0.40 blk/s   81.4 tx/s    7.6 Mgas/s      0+   20 Qed Ancient:#11233865 LI:#13336287    2/25 peers    355 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:29 UTC Syncing #13336266 0x9bcc…36ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11233865 LI:#13336287    2/25 peers    355 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
