2021-10-02 05:42:20 UTC Syncing #13338028 0x67dd…955a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334929 LI:#13338059   14/25 peers    757 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:25 UTC Syncing #13338028 0x67dd…955a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334929 LI:#13338059   15/25 peers    757 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:32 UTC Syncing #13338029 0x0e31…a329     0.20 blk/s   36.2 tx/s    4.0 Mgas/s      0+   29 Qed Ancient:#11334930 LI:#13338059   16/25 peers    828 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:36 UTC Syncing #13338029 0x0e31…a329     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#11334930 LI:#13338059   16/25 peers    828 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:40 UTC Syncing #13338029 0x0e31…a329     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11334930 LI:#13338061   17/25 peers    828 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:45 UTC Syncing #13338029 0x0e31…a329     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11334930 LI:#13338061   21/25 peers    829 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:50 UTC Syncing #13338030 0xc80e…b692     0.20 blk/s   44.8 tx/s    3.9 Mgas/s      0+   31 Qed Ancient:#11334930 LI:#13338061   22/25 peers    829 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:55 UTC Syncing #13338030 0xc80e…b692     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334931 LI:#13338061   23/25 peers    830 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:01 UTC Syncing #13338030 0xc80e…b692     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334931 LI:#13338061   24/25 peers    830 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:05 UTC Syncing #13338030 0xc80e…b692     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334931 LI:#13338061   24/25 peers    830 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:10 UTC Syncing #13338030 0xc80e…b692     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334931 LI:#13338061   24/25 peers    830 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:19 UTC Syncing #13338031 0xf6e4…b005     0.20 blk/s   72.4 tx/s    2.0 Mgas/s      0+   30 Qed Ancient:#11334932 LI:#13338062   21/25 peers    970 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:20 UTC Syncing #13338031 0xf6e4…b005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334932 LI:#13338062   21/25 peers    970 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:33 UTC Syncing #13338032 0xe767…187c     0.13 blk/s   18.6 tx/s    0.7 Mgas/s      0+   31 Qed Ancient:#11334932 LI:#13338063   23/25 peers    970 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:42 UTC Syncing #13338032 0xe767…187c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#11335092 LI:#13338065   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:51 UTC Syncing #13338032 0xe767…187c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#11335092 LI:#13338065   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:51 UTC Syncing #13338032 0xe767…187c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#11335092 LI:#13338065   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:43:55 UTC Syncing #13338032 0xe767…187c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#11335092 LI:#13338067   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:44:07 UTC Syncing #13338032 0xe767…187c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#11335092 LI:#13338067   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:44:07 UTC Syncing #13338032 0xe767…187c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#11335092 LI:#13338067   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
