2021-09-21 20:52:44 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:44 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5469768 LI:#13271415   13/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:55 UTC Syncing #13271407 0x19ae…633d     0.20 blk/s   44.9 tx/s    3.5 Mgas/s      0+    7 Qed Ancient:#5469770 LI:#13271415   13/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:55 UTC Syncing #13271406 0x65eb…098a     0.20 blk/s   60.6 tx/s    5.0 Mgas/s      0+    8 Qed Ancient:#5469769 LI:#13271415   13/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:01 UTC Syncing #13271408 0x01a0…1ef4     0.40 blk/s   42.0 tx/s    3.4 Mgas/s      0+    9 Qed Ancient:#5469771 LI:#13271417   11/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:07 UTC Syncing #13271409 0xedd9…fb4b     0.20 blk/s   12.2 tx/s    2.1 Mgas/s      0+   10 Qed Ancient:#5469772 LI:#13271419   11/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:11 UTC Syncing #13271410 0xf047…7cc5     0.20 blk/s   16.4 tx/s    1.8 Mgas/s      0+    9 Qed Ancient:#5469773 LI:#13271419   11/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:16 UTC Syncing #13271410 0xf047…7cc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5469773 LI:#13271419   11/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:19 UTC Syncing #13271410 0xf047…7cc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5469773 LI:#13271419   10/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:24 UTC Syncing #13271410 0xf047…7cc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5469773 LI:#13271420    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:30 UTC Syncing #13271412 0x3511…c2d7     0.40 blk/s   38.0 tx/s    3.8 Mgas/s      0+    9 Qed Ancient:#5469775 LI:#13271420   10/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:39 UTC Syncing #13271413 0x3f13…59db     0.20 blk/s   58.0 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#5469776 LI:#13271421   12/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:39 UTC Syncing #13271414 0xee08…da42     0.20 blk/s   62.4 tx/s    5.3 Mgas/s      0+    9 Qed Ancient:#5469777 LI:#13271421   12/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:44 UTC Syncing #13271414 0xee08…da42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469777 LI:#13271421   11/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:52 UTC Syncing #13271416 0x4fd0…d444     0.40 blk/s   90.2 tx/s    7.8 Mgas/s      0+    6 Qed Ancient:#5469779 LI:#13271421   13/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:55 UTC Syncing #13271417 0x6f01…366e     0.40 blk/s   54.0 tx/s    4.9 Mgas/s      0+    5 Qed Ancient:#5469781 LI:#13271422   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:53:56 UTC Reorg to #13271418 0x50a3…c221 (0x6f01…366e #13271416 0x4fd0…d444 0x6474…7d90)
2021-09-21 20:54:00 UTC Syncing #13271419 0x9276…537a     0.40 blk/s   31.2 tx/s    2.5 Mgas/s      0+    4 Qed Ancient:#5469783 LI:#13271423   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:54:34 UTC Imported #13271424 0x571e…a013 (237 txs, 21.49 Mgas, 5376 ms, 63.32 KiB)
2021-09-21 20:54:34 UTC  Ancient:#5472002 AB:#5473061   13/25 peers     18 KiB chain   26 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:54:34 UTC  Ancient:#5472011 AB:#5473061   13/25 peers    284 KiB chain   26 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:54:39 UTC Imported #13271425 0x2b31…c6d9 (18 txs, 1.62 Mgas, 616 ms, 6.74 KiB)
2021-09-21 20:55:04 UTC  Ancient:#5473061 AB:#5473834   11/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:55:26 UTC Syncing #13271425 0x2b31…c6d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5473061 LI:#13271426   11/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:55:58 UTC  Ancient:#5473956 AB:#5473956    9/25 peers   744 bytes chain  481 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:55:58 UTC  Ancient:#5473956 AB:#5473956    9/25 peers   744 bytes chain  988 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:55:58 UTC  Ancient:#5473956 AB:#5473956    9/25 peers   744 bytes chain  988 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:55:58 UTC  Ancient:#5473956 AB:#5473956    9/25 peers   744 bytes chain  988 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:24 UTC Syncing #13271426 0x00d8…c779     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473956 LI:#13271431    9/25 peers     74 KiB chain  886 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:29 UTC Syncing #13271426 0x00d8…c779     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473956 LI:#13271431    8/25 peers     74 KiB chain  886 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:37 UTC Syncing #13271426 0x00d8…c779     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473956 LI:#13271431   12/25 peers     74 KiB chain  886 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:40 UTC Syncing #13271427 0x46fb…a50a     0.20 blk/s   73.6 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#5473957 LI:#13271432   11/25 peers    144 KiB chain  678 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:45 UTC Syncing #13271427 0x46fb…a50a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473957 LI:#13271432   14/25 peers    144 KiB chain  678 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:49 UTC Syncing #13271427 0x46fb…a50a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473957 LI:#13271432   14/25 peers    144 KiB chain  678 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:54 UTC Syncing #13271427 0x46fb…a50a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473957 LI:#13271432   13/25 peers    144 KiB chain  678 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:56:59 UTC Syncing #13271427 0x46fb…a50a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473957 LI:#13271432   13/25 peers    144 KiB chain  678 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:04 UTC Syncing #13271427 0x46fb…a50a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5473957 LI:#13271432   11/25 peers    144 KiB chain  678 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:23 UTC Syncing #13271429 0x3908…9f68     0.13 blk/s   38.6 tx/s    2.9 Mgas/s      0+    5 Qed Ancient:#5473959 LI:#13271435   10/25 peers    215 KiB chain  866 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:24 UTC Syncing #13271429 0x3908…9f68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5473959 LI:#13271435   10/25 peers    215 KiB chain  866 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:29 UTC Syncing #13271429 0x3908…9f68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5473959 LI:#13271435   10/25 peers    215 KiB chain  866 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:36 UTC Syncing #13271430 0x387d…de77     0.20 blk/s   18.2 tx/s    1.6 Mgas/s      0+    4 Qed Ancient:#5473960 LI:#13271435   10/25 peers    215 KiB chain  795 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:44 UTC Syncing #13271431 0xab07…96f9     0.10 blk/s    5.4 tx/s    0.5 Mgas/s      0+    4 Qed Ancient:#5473961 LI:#13271436   10/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:50 UTC Syncing #13271431 0xab07…96f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5473961 LI:#13271437    8/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:57:54 UTC Syncing #13271431 0xab07…96f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5473961 LI:#13271438    9/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:02 UTC Syncing #13271431 0xab07…96f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5473961 LI:#13271438   10/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:04 UTC Syncing #13271432 0xbfe6…3a22     0.20 blk/s   51.0 tx/s    4.4 Mgas/s      0+    7 Qed Ancient:#5473961 LI:#13271438   12/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:09 UTC Syncing #13271432 0xbfe6…3a22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5473962 LI:#13271439   13/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:14 UTC Syncing #13271432 0xbfe6…3a22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5473962 LI:#13271439   17/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:19 UTC Syncing #13271432 0xbfe6…3a22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5473962 LI:#13271439   15/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:30 UTC Syncing #13271434 0x514a…9b9b     0.19 blk/s   43.5 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#5473998 LI:#13271441   15/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:30 UTC Syncing #13271433 0x3486…e085     0.20 blk/s   50.6 tx/s    3.9 Mgas/s      0+    8 Qed Ancient:#5473963 LI:#13271441   15/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:40 UTC Syncing #13271434 0x514a…9b9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5473999 LI:#13271441   15/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:40 UTC Syncing #13271435 0x1722…58a2     0.18 blk/s    4.9 tx/s    0.6 Mgas/s      0+    6 Qed Ancient:#5474000 LI:#13271441   15/25 peers      1 MiB chain  796 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:47 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5474000 LI:#13271441   14/25 peers      1 MiB chain  796 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:58:56 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5474000 LI:#13271444   11/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:06 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5474000 LI:#13271444   11/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:06 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5474000 LI:#13271444   11/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:13 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5474000 LI:#13271447   11/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:15 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5474000 LI:#13271447   11/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:24 UTC Syncing #13271435 0x1722…58a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5474000 LI:#13271447   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:35 UTC Syncing #13271436 0x3825…e3dd     0.20 blk/s   66.8 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#5474001 LI:#13271447   12/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:35 UTC Syncing #13271436 0x3825…e3dd     0.10 blk/s   33.4 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#5474001 LI:#13271447   12/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:35 UTC Syncing #13271436 0x3825…e3dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5474001 LI:#13271447   12/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:39 UTC Syncing #13271437 0x732d…c84e     0.40 blk/s   31.6 tx/s    3.8 Mgas/s      0+   14 Qed Ancient:#5474003 LI:#13271452   12/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:45 UTC Syncing #13271438 0x5f90…58b1     0.20 blk/s   12.2 tx/s    1.2 Mgas/s      0+   13 Qed Ancient:#5474004 LI:#13271452   12/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:49 UTC Syncing #13271438 0x5f90…58b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5474004 LI:#13271452   13/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:59 UTC Syncing #13271439 0x8121…7bd8     0.20 blk/s   39.6 tx/s    3.4 Mgas/s      0+   12 Qed Ancient:#5474005 LI:#13271452   16/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:59:59 UTC Syncing #13271440 0xcef6…4c80     0.20 blk/s   22.6 tx/s    2.2 Mgas/s      0+   11 Qed Ancient:#5474006 LI:#13271452   16/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:00:07 UTC Syncing #13271441 0xae8c…a62f     0.20 blk/s   13.6 tx/s    0.9 Mgas/s      0+   10 Qed Ancient:#5474007 LI:#13271452   15/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:00:12 UTC Syncing #13271441 0xae8c…a62f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5474007 LI:#13271452   15/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
