2021-09-22 04:37:16 UTC Syncing #13273466 0x5ac9…c2da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5713779 LI:#13273476    3/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:16 UTC Syncing #13273466 0x5ac9…c2da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5713779 LI:#13273476    3/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:40 UTC Syncing #13273466 0x5ac9…c2da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5713779 LI:#13273476    3/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:40 UTC Syncing #13273466 0x5ac9…c2da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5713779 LI:#13273476    3/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:40 UTC Syncing #13273466 0x5ac9…c2da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5713779 LI:#13273476    3/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:52 UTC Syncing #13273467 0x3029…3fa9     0.18 blk/s   46.7 tx/s    5.1 Mgas/s      0+    8 Qed Ancient:#5713779 LI:#13273476    3/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:52 UTC Syncing #13273467 0x3029…3fa9     0.10 blk/s   24.4 tx/s    2.7 Mgas/s      0+    8 Qed Ancient:#5713779 LI:#13273476    3/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:17 UTC Syncing #13273468 0x6dfd…ae08     0.07 blk/s    5.5 tx/s    0.6 Mgas/s      0+    8 Qed Ancient:#5713779 LI:#13273477    2/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:17 UTC Syncing #13273468 0x6dfd…ae08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5713779 LI:#13273477    2/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:17 UTC Syncing #13273468 0x6dfd…ae08     0.10 blk/s    8.2 tx/s    0.8 Mgas/s      0+    8 Qed Ancient:#5713779 LI:#13273477    2/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:17 UTC Syncing #13273468 0x6dfd…ae08     0.20 blk/s   16.4 tx/s    1.7 Mgas/s      0+    8 Qed Ancient:#5713779 LI:#13273477    2/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:21 UTC Syncing #13273469 0x7ae9…9055     0.26 blk/s   18.0 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#5713779 LI:#13273477    0/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
