2021-09-21 23:15:07 UTC Syncing #13272026 0xa7a7…9c19     0.20 blk/s   32.6 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:07 UTC Syncing #13272026 0xa7a7…9c19     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:07 UTC Syncing #13272025 0x5327…95f1     0.20 blk/s   43.6 tx/s    4.2 Mgas/s      0+   13 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:16 UTC Syncing #13272027 0xd16b…5a10     0.20 blk/s   30.4 tx/s    2.8 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:16 UTC Syncing #13272027 0xd16b…5a10     0.40 blk/s   60.8 tx/s    5.6 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:23 UTC Syncing #13272027 0xd16b…5a10     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:35 UTC Syncing #13272030 0x2cfe…2574     0.60 blk/s   73.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:35 UTC Syncing #13272030 0x2cfe…2574     0.30 blk/s   36.9 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:45 UTC Syncing #13272031 0xaa61…1dad     0.10 blk/s   25.2 tx/s    2.8 Mgas/s      0+    7 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain  866 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:45 UTC Syncing #13272030 0x2cfe…2574     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:53 UTC Syncing #13272031 0xaa61…1dad     0.10 blk/s   25.2 tx/s    2.8 Mgas/s      0+    7 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain  866 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:53 UTC Syncing #13272031 0xaa61…1dad     0.20 blk/s   50.4 tx/s    5.5 Mgas/s      0+    7 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain  866 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:15:56 UTC Syncing #13272033 0x3acc…4911     0.40 blk/s   49.2 tx/s    4.3 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272039    0/25 peers      1 MiB chain  720 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:16:01 UTC Syncing #13272033 0x3acc…4911     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272039    0/25 peers      1 MiB chain  720 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:16:06 UTC Syncing #13272034 0xf904…6000     0.20 blk/s   20.2 tx/s    2.2 Mgas/s      0+    4 Qed Ancient:#5565363 LI:#13272039    0/25 peers      1 MiB chain  627 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:16:50 UTC  Ancient:#5565363 AB:#5565363    0/25 peers      1 MiB chain  106 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:16:50 UTC  Ancient:#5565363 AB:#5565363    0/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:16:50 UTC  Ancient:#5565363 AB:#5565363    0/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:16:50 UTC Imported #13272039 0xbe68…020b (121 txs, 6.93 Mgas, 4430 ms, 30.57 KiB)
2021-09-21 23:17:11 UTC Syncing #13272039 0xbe68…020b     0.08 blk/s   12.4 tx/s    1.0 Mgas/s      0+    0 Qed Ancient:#5565363 LI:#13272039    1/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:16 UTC Syncing #13272039 0xbe68…020b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5565363 LI:#13272039    1/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:21 UTC Syncing #13272039 0xbe68…020b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565363 LI:#13272060    4/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:26 UTC Syncing #13272039 0xbe68…020b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5565363 LI:#13272062    5/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:31 UTC Syncing #13272039 0xbe68…020b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5565363 LI:#13272062    7/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:37 UTC Syncing #13272039 0xbe68…020b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5565363 LI:#13272062   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:41 UTC Syncing #13272040 0xbd88…e83e     0.20 blk/s   52.6 tx/s    5.8 Mgas/s      0+   23 Qed Ancient:#5565364 LI:#13272063   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:53 UTC Syncing #13272041 0x5e4c…ab93     0.20 blk/s    3.8 tx/s    0.3 Mgas/s      0+   21 Qed Ancient:#5565365 LI:#13272063   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:17:53 UTC Syncing #13272041 0x5e4c…ab93     0.10 blk/s    1.9 tx/s    0.1 Mgas/s      0+   21 Qed Ancient:#5565365 LI:#13272063   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:00 UTC Syncing #13272041 0x5e4c…ab93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5565365 LI:#13272063   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:09 UTC Syncing #13272044 0x775e…c15b     0.30 blk/s   21.7 tx/s    2.3 Mgas/s      0+   19 Qed Ancient:#5565369 LI:#13272064   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:09 UTC Syncing #13272044 0x775e…c15b     0.60 blk/s   43.4 tx/s    4.5 Mgas/s      0+   19 Qed Ancient:#5565369 LI:#13272064   11/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:11 UTC Syncing #13272044 0x775e…c15b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5565369 LI:#13272064    7/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:16 UTC Syncing #13272044 0x775e…c15b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5565369 LI:#13272064    7/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:25 UTC Syncing #13272044 0x775e…c15b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5565369 LI:#13272064    4/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:30 UTC Syncing #13272045 0xb4d9…2a93     0.20 blk/s   56.2 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#5565370 LI:#13272065    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:31 UTC Syncing #13272045 0xb4d9…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565370 LI:#13272066    4/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
