2021-05-09 11:22:41 UTC Syncing #12399716 0xd599…555c     0.20 blk/s   25.0 tx/s    3.0 Mgas/s      0+  174 Qed Ancient:#12135598 LI:#12399885   32/50 peers    981 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:46 UTC Syncing #12399717 0x2514…279e     0.20 blk/s   45.6 tx/s    3.0 Mgas/s      0+  173 Qed Ancient:#12135598 LI:#12399885   32/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:51 UTC Syncing #12399717 0x2514…279e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  173 Qed Ancient:#12135598 LI:#12399885   32/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:59 UTC Syncing #12399719 0x1b2e…a988     0.29 blk/s   75.9 tx/s    4.3 Mgas/s      0+  172 Qed Ancient:#12135666 LI:#12399885   32/50 peers      3 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:10 UTC Syncing #12399720 0x1665…3f4f     0.09 blk/s   23.2 tx/s    1.4 Mgas/s      0+  171 Qed Ancient:#12135914 LI:#12399885   32/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:40 UTC Syncing #12399720 0x1665…3f4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12136928 LI:#12399888   27/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:53 UTC Syncing #12399721 0x4d1e…676b     0.08 blk/s   19.2 tx/s    1.2 Mgas/s      0+  174 Qed Ancient:#12137745 LI:#12399889   25/25 peers   728 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:53 UTC Syncing #12399721 0x4d1e…676b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12137745 LI:#12399889   25/25 peers   728 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:53 UTC Syncing #12399721 0x4d1e…676b     0.08 blk/s   19.2 tx/s    1.2 Mgas/s      0+  174 Qed Ancient:#12137745 LI:#12399889   25/25 peers     18 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:53 UTC Syncing #12399721 0x4d1e…676b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12137745 LI:#12399889   25/25 peers   728 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:23:56 UTC Syncing #12399721 0x4d1e…676b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12137745 LI:#12399890   25/25 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:24:01 UTC Syncing #12399722 0x5624…e2a8     0.20 blk/s   51.6 tx/s    3.0 Mgas/s      0+  173 Qed Ancient:#12137745 LI:#12399890   26/50 peers    109 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
