2021-10-01 20:35:51 UTC Syncing #13335632 0xcafe…6485     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11187171 LI:#13335639   26/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:56 UTC Syncing #13335633 0x62b6…d690     0.20 blk/s   27.6 tx/s    2.6 Mgas/s      0+    5 Qed Ancient:#11187172 LI:#13335639   26/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:01 UTC Syncing #13335633 0x62b6…d690     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11187172 LI:#13335640   25/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:06 UTC Syncing #13335633 0x62b6…d690     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11187172 LI:#13335640   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:12 UTC Syncing #13335633 0x62b6…d690     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11187172 LI:#13335641   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:16 UTC Syncing #13335633 0x62b6…d690     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11187172 LI:#13335641   28/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:21 UTC Syncing #13335633 0x62b6…d690     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11187172 LI:#13335642   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:26 UTC Syncing #13335633 0x62b6…d690     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11187172 LI:#13335642   28/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:31 UTC Syncing #13335634 0x214c…9ee0     0.20 blk/s   41.8 tx/s    3.6 Mgas/s      0+    7 Qed Ancient:#11187173 LI:#13335642   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:36 UTC Syncing #13335634 0x214c…9ee0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11187173 LI:#13335643   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:41 UTC Syncing #13335634 0x214c…9ee0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11187173 LI:#13335643   26/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:46 UTC Syncing #13335634 0x214c…9ee0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11187173 LI:#13335644   26/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:51 UTC Syncing #13335634 0x214c…9ee0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11187173 LI:#13335644   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:36:56 UTC Syncing #13335634 0x214c…9ee0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11187173 LI:#13335644   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:37:01 UTC Syncing #13335635 0xb148…326d     0.20 blk/s   48.8 tx/s    4.3 Mgas/s      0+   11 Qed Ancient:#11187174 LI:#13335647   27/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:37:07 UTC Syncing #13335635 0xb148…326d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11187174 LI:#13335647   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:37:35 UTC Syncing #13335636 0x9c45…7b10     0.20 blk/s   19.6 tx/s    1.3 Mgas/s      0+   10 Qed Ancient:#11187175 LI:#13335647   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:37:35 UTC Syncing #13335636 0x9c45…7b10     0.10 blk/s    9.8 tx/s    0.7 Mgas/s      0+   10 Qed Ancient:#11187175 LI:#13335647   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:37:35 UTC Syncing #13335636 0x9c45…7b10     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11187175 LI:#13335649   28/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
