2021-05-09 10:41:51 UTC Syncing #12399482 0x6462…27c0     0.20 blk/s   48.0 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12118719 LI:#12399666   25/25 peers      1 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:56 UTC Syncing #12399483 0x051b…1c2b     0.20 blk/s   59.4 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12118719 LI:#12399666   25/25 peers      1 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:01 UTC Syncing #12399483 0x051b…1c2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12118719 LI:#12399666   26/50 peers      2 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:06 UTC Syncing #12399484 0x02f1…949c     0.20 blk/s   42.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12118719 LI:#12399666   26/50 peers      2 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:11 UTC Syncing #12399485 0x9824…63e4     0.20 blk/s   44.8 tx/s    2.9 Mgas/s      0+  180 Qed Ancient:#12118719 LI:#12399666   26/50 peers      2 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:16 UTC Syncing #12399485 0x9824…63e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12118719 LI:#12399666   26/50 peers      2 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:21 UTC Syncing #12399486 0x15c6…b803     0.20 blk/s   49.4 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12118719 LI:#12399666   26/50 peers      2 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:26 UTC Syncing #12399486 0x15c6…b803     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  179 Qed Ancient:#12118719 LI:#12399666   27/50 peers      2 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:31 UTC Syncing #12399487 0x69b5…d08a     0.20 blk/s   36.6 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12118719 LI:#12399666   28/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:36 UTC Syncing #12399487 0x69b5…d08a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12118719 LI:#12399666   28/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:41 UTC Syncing #12399489 0x3447…dcf0     0.40 blk/s   58.0 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12118719 LI:#12399666   28/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:49 UTC Syncing #12399491 0xbe11…f304     0.26 blk/s   66.3 tx/s    3.9 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399684   28/50 peers      2 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:51 UTC Syncing #12399491 0xbe11…f304     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  192 Qed Ancient:#12118738 LI:#12399684   28/50 peers      2 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:42:56 UTC Syncing #12399491 0xbe11…f304     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399685   29/50 peers      2 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:43:01 UTC Syncing #12399492 0xbd81…20f7     0.20 blk/s   71.2 tx/s    3.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399686   29/50 peers      2 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:43:06 UTC Syncing #12399492 0xbd81…20f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399686   28/50 peers      2 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:43:11 UTC Syncing #12399493 0x9215…9cfe     0.20 blk/s   43.6 tx/s    3.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399687   28/50 peers      2 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
