timestamp,dir_read_c,dir_reads,tcp_conn,tcp_sends,dir_writes,dir_write_c,tcp_recvs
1632083220,0,0,179,2725888,3481600,850,5326848
1632083235,0,0,181,6144,3481600,850,5354496
1632083250,0,0,192,12288,3481600,850,5273600
1632083265,0,0,182,6144,3481600,850,3500032
1632083280,0,0,191,12288,19034112,4647,4888576
1632083295,0,0,188,6144,19034112,4647,4313088
1632083310,0,0,191,12288,19034112,4647,4643840
1632083325,0,0,189,6144,11161600,2725,4782080
1632083340,0,0,192,12288,11161600,2725,3740672
1632083355,0,0,184,6144,11161600,2725,4048896
1632083370,0,0,191,12288,11161600,2725,2161664
1632083385,0,0,190,6144,11161600,2725,3401728
1632083400,0,0,192,5189632,12197888,2978,5441536
1632083415,0,0,197,2676736,12197888,2978,3194880
1632083430,0,0,190,12288,12197888,2978,4220928
1632083445,0,0,187,6144,12197888,2978,3377152
1632083460,0,0,188,11264,19521536,4766,3637248
1632083475,0,0,183,6144,19521536,4766,3436544
1632083490,0,0,202,12288,19521536,4766,4172800
1632083505,0,0,187,6144,14241792,3477,3831808
1632083520,0,0,190,11264,14241792,3477,3174400
1632083535,0,0,186,6144,14241792,3477,4231168
1632083550,0,0,180,12288,14241792,3477,2159616
1632083565,0,0,192,6144,13516800,3300,3308544
1632083580,0,0,182,12288,13516800,3300,4148224
1632083595,0,0,187,6144,13516800,3300,4916224
1632083610,0,0,184,12288,13516800,3300,2666496
1632083625,0,0,201,6144,18108416,4421,4156416
1632083640,0,0,203,11264,18108416,4421,2970624
1632083655,0,0,191,6144,18108416,4421,4835328
1632083670,0,0,204,12288,18108416,4421,2664448
1632083685,0,0,187,6144,12931072,3157,4652032
1632083700,0,0,192,12288,12931072,3157,2994176
1632083715,0,0,178,12288,12288,3,4356096
1632083730,0,0,187,6144,15749120,3845,4004864
1632083745,0,0,191,12288,8192,2,3785728
1632083760,0,0,184,2993152,24576,6,2971648
1632083775,0,0,195,44032,8192,2,3540992
1632083790,0,0,196,6144,19456000,4750,3237888
1632083805,0,0,178,12288,28672,7,1896448
1632083820,0,0,189,6144,20480,5,3901440
1632083835,0,0,171,11264,8192,2,2042880
1632083850,0,0,177,2328576,9547776,2331,6175744
1632083865,0,0,188,299008,49152,12,3488768
1632083880,0,0,174,6144,4096,1,4164608
1632083895,0,0,192,11264,4096,1,2868224
1632083910,0,0,177,6144,13803520,3370,1687552
1632083925,0,0,182,12288,12288,3,1675264
1632083940,0,0,179,3537920,20480,5,5361664
1632083955,0,0,186,11264,24576,6,4344832
1632083970,0,0,187,5120,18710528,4568,4217856
1632083985,0,0,178,11264,8192,2,2343936
1632084000,0,0,180,3395584,16384,4,2379776
1632084015,0,0,180,12288,24576,6,5019648
1632084030,0,0,185,6144,8192,2,3162112
1632084045,0,0,185,11264,13467648,3288,2023424
1632084060,0,0,182,5120,8192,2,1408000
1632084075,0,0,177,11264,8192,2,1618944
1632084090,0,0,187,6144,12288,3,5943296
1632084105,0,0,180,12288,7786496,1901,3734528
1632084120,0,0,183,6144,8192,2,2970624
1632084135,0,0,191,11264,4096,1,1807360
1632084150,0,0,182,5120,4096,1,3463168
1632084165,0,0,181,11264,24576,6,3314688
1632084180,0,0,192,6144,6127616,1496,5501952
1632084195,0,0,189,12288,16384,4,3289088
1632084210,0,0,184,5120,16384,4,2899968
