2021-09-22 05:05:12 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5725213 LI:#13273598    5/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:18 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5725213 LI:#13273598    5/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:22 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5725213 LI:#13273600    6/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:28 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5725213 LI:#13273601   11/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:32 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5725213 LI:#13273602   11/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:39 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725213 LI:#13273603   10/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:43 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725213 LI:#13273603   11/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:48 UTC Syncing #13273589 0x84cc…f5f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725213 LI:#13273603   14/25 peers    626 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:55 UTC Syncing #13273590 0xde81…0628     0.20 blk/s   36.8 tx/s    4.5 Mgas/s      0+   13 Qed Ancient:#5725219 LI:#13273604   14/25 peers    697 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:57 UTC Syncing #13273590 0xde81…0628     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5725219 LI:#13273605   14/25 peers    697 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:03 UTC Syncing #13273591 0x3a0b…ca2d     0.20 blk/s   11.2 tx/s    0.9 Mgas/s      0+   13 Qed Ancient:#5725220 LI:#13273605   13/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:07 UTC Syncing #13273591 0x3a0b…ca2d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725220 LI:#13273605   13/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:24 UTC Syncing #13273591 0x3a0b…ca2d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5725220 LI:#13273606   11/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:24 UTC Syncing #13273591 0x3a0b…ca2d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5725220 LI:#13273606   11/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:24 UTC Syncing #13273591 0x3a0b…ca2d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5725220 LI:#13273606   11/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:27 UTC Syncing #13273591 0x3a0b…ca2d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5725220 LI:#13273608   11/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:37 UTC Syncing #13273592 0xdc3d…1888     0.10 blk/s   23.9 tx/s    2.6 Mgas/s      0+   15 Qed Ancient:#5725221 LI:#13273608   10/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:37 UTC Syncing #13273592 0xdc3d…1888     0.20 blk/s   47.8 tx/s    5.2 Mgas/s      0+   15 Qed Ancient:#5725221 LI:#13273608   10/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:50 UTC Syncing #13273593 0xc686…ba39     0.20 blk/s   31.2 tx/s    2.9 Mgas/s      0+   14 Qed Ancient:#5725222 LI:#13273608    9/25 peers    837 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:50 UTC Syncing #13273593 0xc686…ba39     0.10 blk/s   15.6 tx/s    1.5 Mgas/s      0+   14 Qed Ancient:#5725222 LI:#13273608    9/25 peers    837 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:52 UTC Syncing #13273593 0xc686…ba39     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5725222 LI:#13273609    9/25 peers    837 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:06:58 UTC Syncing #13273595 0xe0cc…8990     0.40 blk/s   49.0 tx/s    3.8 Mgas/s      0+   13 Qed Ancient:#5725224 LI:#13273609    9/25 peers    838 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:14 UTC Syncing #13273595 0xe0cc…8990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725224 LI:#13273610    9/25 peers    838 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:14 UTC Syncing #13273595 0xe0cc…8990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725224 LI:#13273610    9/25 peers    838 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:14 UTC Syncing #13273595 0xe0cc…8990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5725224 LI:#13273610    9/25 peers    838 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:17 UTC Syncing #13273595 0xe0cc…8990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5725224 LI:#13273611    9/25 peers    838 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:24 UTC Syncing #13273596 0x9c34…8234     0.20 blk/s   39.6 tx/s    5.3 Mgas/s      0+   14 Qed Ancient:#5725225 LI:#13273611    9/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:27 UTC Syncing #13273596 0x9c34…8234     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5725225 LI:#13273611    9/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:32 UTC Syncing #13273596 0x9c34…8234     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5725225 LI:#13273612   14/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:07:37 UTC Syncing #13273596 0x9c34…8234     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5725225 LI:#13273613   14/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:08 UTC Syncing #13273597 0xed6e…395f     0.03 blk/s    7.6 tx/s    0.8 Mgas/s      0+   18 Qed Ancient:#5725969 LI:#13273615   19/25 peers    0 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:22 UTC Syncing #13273597 0xed6e…395f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5725992 LI:#13273616   17/25 peers    639 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:31 UTC Syncing #13273597 0xed6e…395f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5725992 LI:#13273616   17/25 peers    639 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:42 UTC Syncing #13273599 0xdfd9…db06     0.40 blk/s   43.8 tx/s    5.1 Mgas/s      0+   17 Qed Ancient:#5725994 LI:#13273617   16/25 peers    639 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:42 UTC Syncing #13273600 0x3e53…a7b3     0.10 blk/s    5.2 tx/s    0.5 Mgas/s      0+   16 Qed Ancient:#5725995 LI:#13273617   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:52 UTC Syncing #13273600 0x3e53…a7b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5725995 LI:#13273617   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:52 UTC Syncing #13273600 0x3e53…a7b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5725995 LI:#13273617   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:08:58 UTC Syncing #13273600 0x3e53…a7b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5725995 LI:#13273618   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:13 UTC Syncing #13273601 0xd914…a931     0.20 blk/s   39.8 tx/s    4.0 Mgas/s      0+   17 Qed Ancient:#5725996 LI:#13273620   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:13 UTC Syncing #13273601 0xd914…a931     0.10 blk/s   19.9 tx/s    2.0 Mgas/s      0+   17 Qed Ancient:#5725996 LI:#13273621   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:13 UTC Syncing #13273601 0xd914…a931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5725996 LI:#13273622   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:19 UTC Syncing #13273603 0xd73c…0cee     0.53 blk/s   43.5 tx/s    3.7 Mgas/s      0+   18 Qed Ancient:#5725998 LI:#13273622   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:25 UTC Syncing #13273603 0xd73c…0cee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5725998 LI:#13273622   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:27 UTC Syncing #13273603 0xd73c…0cee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5725998 LI:#13273622   15/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:32 UTC Syncing #13273603 0xd73c…0cee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5725998 LI:#13273622   14/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:37 UTC Syncing #13273603 0xd73c…0cee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5725998 LI:#13273623   13/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
